round,frame_accuracy,round_wall_time,mean_ingestion_wait,mean_compute_time,mean_upload_queue,mean_upload_xfer,mean_download_time,acc_car,acc_van,acc_bus,acc_others
1,0.6508504923903312,106.79279518127441,0.6769302332120987,40.991711378097534,6.67572021484375e-06,0.2108771829848104,0.3517020722800816,0.6976581614819993,0.3516819571865443,0.40789473684210525,0.7272727272727273
2,0.8170695314831393,108.87405514717102,0.7385079533266629,43.64880665143331,5.8015187581380206e-06,0.146181490088503,0.49715966987818144,0.8741698706745893,0.5902140672782875,0.28289473684210525,0.09090909090909091
3,0.8451208594449419,107.82416224479675,0.5479085229506672,41.427009423573814,5.404154459635417e-06,0.16994208093804916,0.3009516426406746,0.88255854596295,0.5963302752293578,0.7105263157894737,0.36363636363636365
4,0.7678304983586989,107.17641067504883,0.7321498111095283,42.02628620465597,6.1194101969401044e-06,0.04729382680597513,0.40558093836315084,0.7717581265291856,0.7308868501529052,0.8026315789473685,0.36363636363636365
5,0.7678304983586989,104.63510298728943,0.7877591199628657,41.16087603569031,5.8015187581380206e-06,0.09002046167386935,0.32151421863305246,0.7605732261447047,0.8379204892966361,0.7894736842105263,0.2727272727272727
6,0.8009549388242315,108.48428583145142,0.7578943695700177,41.244065841039024,6.9141387939453125e-06,0.15612970726556383,0.4726920267389812,0.8074099965047187,0.764525993883792,0.7894736842105263,0.36363636363636365
7,0.8719785138764548,107.364577293396,0.5673893848981915,39.643127838770546,5.563100179036458e-06,0.22489954870523485,0.4020890096734468,0.9192590003495281,0.6819571865443425,0.45394736842105265,0.0
8,0.7863324380781856,108.04754042625427,0.6055699719148445,43.727085987726845,5.880991617838542e-06,0.03898849471343498,0.409515283061725,0.7864383082838169,0.7981651376146789,0.7960526315789473,0.2727272727272727
9,0.8866010146225007,104.72606635093689,0.7745019618018386,40.61355058352152,5.6425730387369794e-06,0.19003512426565397,0.36160207737093675,0.9269486193638588,0.7125382262996942,0.5460526315789473,0.2727272727272727
10,0.8113995822142644,103.94780445098877,0.868982186625607,38.04727570215861,5.4836273193359375e-06,0.11178835719153841,0.43222011295896756,0.8154491436560644,0.8103975535168195,0.7763157894736842,0.2727272727272727
11,0.7344076395105938,104.47513175010681,0.8059953669726173,39.60324660936991,5.3246815999348956e-06,0.17555920324475152,0.37895211019824715,0.7301642782243971,0.764525993883792,0.7828947368421053,0.2727272727272727
12,0.7463443748134885,106.48608446121216,0.8843007351230713,42.72876572608948,5.1657358805338544e-06,0.1506359917771258,0.334981444580064,0.7448444599790283,0.7706422018348624,0.7631578947368421,0.18181818181818182
13,0.7878245299910475,107.54602575302124,0.5836459651788185,44.004666566848755,6.039937337239583e-06,0.1629440031096871,0.2865673640643438,0.7836420831876966,0.8501529051987767,0.7697368421052632,0.2727272727272727
14,0.6935243210981796,110.32694888114929,0.7134409238395018,44.15963657697042,5.3246815999348956e-06,0.20405934108426518,0.4795322318214383,0.6784341139461727,0.7737003058103975,0.8289473684210527,0.36363636363636365
15,0.8445240226797971,103.18121147155762,0.7030778478280997,39.75858370463053,2.2570292154947918e-05,0.1929915452306418,0.3959226898955091,0.8643830828381684,0.6513761467889908,0.9276315789473685,0.2727272727272727
16,0.7773798866010146,108.06138873100281,0.6301638088034666,42.4455193678538,6.198883056640625e-06,0.06903012904942928,0.3061475969427315,0.7790982174065012,0.7431192660550459,0.8486842105263158,0.36363636363636365
17,0.8439271859146523,105.06563377380371,0.7197864765875203,39.94367337226868,7.311503092447917e-06,0.1374968881516394,0.35119604586202985,0.846207619713387,0.8318042813455657,0.868421052631579,0.2727272727272727
18,0.7430617726051925,105.67708992958069,0.7028491280777601,39.4384446144104,6.1194101969401044e-06,0.20865508913949524,0.4232868910763509,0.7287661656763369,0.8532110091743119,0.8026315789473685,0.36363636363636365
19,0.7761862130707251,107.3822295665741,0.8035735686765569,41.80670301119486,5.563100179036458e-06,0.009116885434957736,0.45940587659280513,0.7630199231038098,0.8379204892966361,0.9276315789473685,0.2727272727272727
20,0.8218442256042973,114.09953331947327,0.6746917569505607,47.1483945051829,0.0010979175567626953,0.16304874437398795,0.42651373383500896,0.8252359314924852,0.7737003058103975,0.8947368421052632,0.36363636363636365
21,0.7427633542226201,118.7722020149231,0.8716915843748702,47.96083092689514,0.005588213602701823,0.1325440230345227,0.42812360331343013,0.7228241873470814,0.8470948012232415,0.9276315789473685,0.2727272727272727
22,0.7033721277230678,112.03048086166382,0.7606005479926123,46.40149219830831,8.742014567057291e-06,0.10782847528805133,0.3041246943284108,0.6913666550157288,0.7859327217125383,0.7763157894736842,0.36363636363636365
23,0.8102059086839749,111.77454400062561,0.7743434366093972,41.87125277519226,5.3246815999348956e-06,0.08779375484504626,0.577288560931677,0.8091576371897938,0.7798165137614679,0.9276315789473685,0.36363636363636365
24,0.8346762160549089,110.43058466911316,0.8133640868116324,47.391917864481606,0.010461807250976562,0.160804906621425,0.41792326656318296,0.8350227193289059,0.8042813455657493,0.9276315789473685,0.36363636363636365
25,0.7606684571769621,115.93074011802673,0.8507043985452064,51.144212325414024,5.245208740234375e-06,0.15811122338495923,0.39381470366761134,0.7584760573226145,0.7920489296636085,0.7631578947368421,0.36363636363636365
26,0.7591763652641003,107.94431734085083,0.8859650202291908,42.72631255785624,5.245208740234375e-06,0.07674432639649835,0.416358840195338,0.7458930443900734,0.8256880733944955,0.8947368421052632,0.36363636363636365
27,0.640107430617726,106.62360000610352,0.9525104638406398,41.570037285486855,6.5962473551432294e-06,0.1804209795218754,0.3806976713817856,0.6141209367354072,0.7584097859327217,0.8947368421052632,0.36363636363636365
28,0.6138466129513578,109.6659996509552,0.7455840524877003,44.46595176060995,5.245208740234375e-06,0.09619250006101694,0.5520428521755053,0.5917511359664454,0.7370030581039755,0.7828947368421053,0.36363636363636365
29,0.7358997314234557,105.99729323387146,0.9148423515662288,40.50436798731486,5.0067901611328125e-06,0.14382587273338207,0.3985299100851207,0.7270185249912618,0.7400611620795107,0.9210526315789473,0.36363636363636365
30,0.5968367651447329,106.87906908988953,0.8468071346796086,44.06778462727865,6.167093912760417e-05,0.2490162232485765,0.45361606168838975,0.5770709542118141,0.6574923547400612,0.8552631578947368,0.36363636363636365
31,0.6039988063264697,110.62721991539001,0.861189278524145,44.894345124562584,0.00010967254638671875,0.12028785263566864,0.358553928621894,0.5847605732261447,0.6880733944954128,0.8026315789473685,0.36363636363636365
32,0.6997911071321994,114.56798982620239,0.7084582990044302,47.11401724815369,5.420049031575521e-05,0.17089277413420287,0.43466496331138527,0.6857742048234883,0.7859327217125383,0.8026315789473685,0.36363636363636365
33,0.8090122351536855,120.38597226142883,0.9583453372523838,49.8360280195872,0.00012596448262532553,0.11447018855276898,0.3472884435148356,0.8140510311080041,0.7247706422018348,0.9276315789473685,0.36363636363636365
34,0.736198149806028,108.85949873924255,0.6621405566017461,42.3612212340037,5.7220458984375e-06,0.07649027276868246,0.43949570029022045,0.7130373995106606,0.8807339449541285,0.8881578947368421,0.36363636363636365
35,0.7732020292450015,111.50404834747314,0.79968582030808,45.65291174252828,8.289019266764323e-05,0.1000338474539006,0.25520919557958627,0.7745543516253058,0.7033639143730887,0.9276315789473685,0.36363636363636365
36,0.7472396299612056,113.04260611534119,0.7512292128220187,42.90682411193848,4.927317301432292e-06,0.12013566491554391,0.3260557567376532,0.7434463474309682,0.7981651376146789,0.7368421052631579,0.36363636363636365
37,0.7370934049537452,111.49937224388123,0.6516148508909232,44.082534074783325,5.4836273193359375e-06,0.09956958344389293,0.45132648220307764,0.7392520097867878,0.6483180428134556,0.9144736842105263,0.36363636363636365
38,0.7773798866010146,118.65054297447205,0.5925325015140616,47.74161616961161,4.609425862630208e-06,0.13156950736529863,0.37327529889716216,0.7825934987766515,0.6697247706422018,0.9407894736842105,0.36363636363636365
39,0.8072217248582513,104.59163355827332,0.5788502804600816,42.624496857325234,5.404154459635417e-06,0.08722962697694382,0.4267167522503467,0.8217406501223349,0.6513761467889908,0.9013157894736842,0.36363636363636365
40,0.7275440167114294,105.18498492240906,0.7436531067044397,39.533155043919884,5.6425730387369794e-06,0.18032806227909362,0.363257589994412,0.7329605033205173,0.7767584097859327,0.5460526315789473,0.36363636363636365
41,0.7708146821844225,113.92054915428162,0.7392992355951291,44.04276776313782,4.6888987223307294e-06,0.09704325139769547,0.28685244587610464,0.7707095421181405,0.7522935779816514,0.8421052631578947,0.36363636363636365
42,0.7526111608475082,110.3919825553894,0.9321359605244526,46.78033256530762,5.0067901611328125e-06,0.10184542497862022,0.4247453211891254,0.7612722824187347,0.6666666666666666,0.8026315789473685,0.36363636363636365
43,0.6917338108027454,113.7665605545044,0.7797457016051211,45.124114433924355,5.245208740234375e-06,0.0,0.30801701320200153,0.6864732610975184,0.7064220183486238,0.7828947368421053,0.36363636363636365
44,0.7800656520441659,114.27003288269043,0.7987340448484955,45.41432531674703,6.4373016357421875e-06,0.25104367590381965,0.44354427378424804,0.7808458580915764,0.7308868501529052,0.9013157894736842,0.36363636363636365
45,0.8224410623694419,108.45022249221802,0.7474389005344335,41.69153634707133,5.563100179036458e-06,0.16671277519222163,0.5544953417980404,0.8276826284515904,0.7431192660550459,0.9276315789473685,0.36363636363636365
46,0.5840047746941212,105.20059013366699,0.6435352842259171,39.60238536198934,5.1657358805338544e-06,0.16507046016216592,0.42818404186512554,0.5522544564837469,0.7186544342507645,0.9078947368421053,0.36363636363636365
47,0.7887197851387645,111.3359386920929,0.7653069691058763,47.46661305427551,8.7738037109375e-05,0.06601673752923447,0.4386382247578977,0.7927298147500874,0.7155963302752294,0.9013157894736842,0.36363636363636365
48,0.5738585496866607,119.24267435073853,0.9389163807438684,49.021528005599976,0.00023635228474934897,0.11971524943126588,0.45605409769254,0.5470115344285215,0.7064220183486238,0.8092105263157895,0.36363636363636365
49,0.8200537153088631,102.60407543182373,0.8786893187279912,39.61782685915629,0.00022824605305989584,0.06124131343612119,0.4161675913844372,0.8287312128626354,0.7217125382262997,0.9013157894736842,0.36363636363636365
50,0.7764846314532975,137.02141332626343,0.5891520223761476,57.30935287475586,8.821487426757812e-05,0.18143844006498078,0.5002262300189789,0.788535477105907,0.6452599388379205,0.8618421052631579,0.36363636363636365
51,0.8606386153387049,115.89061379432678,0.9485385193404197,46.5145533879598,5.8015187581380206e-06,0.18591439773219962,0.314516547001884,0.8804613771408598,0.7400611620795107,0.7828947368421053,0.36363636363636365
52,0.7920023873470606,114.71060967445374,0.8491592949825194,43.33788784344991,0.0001358191172281901,0.1262752353605599,0.41664391930936456,0.8084585809157637,0.6238532110091743,0.875,0.36363636363636365
53,0.8406445837063563,122.21820425987244,0.8545443347501874,50.72444597880045,9.80695088704427e-05,0.0941196450967487,0.40632117879430796,0.8528486543166724,0.72782874617737,0.8881578947368421,0.36363636363636365
54,0.7806624888093107,108.58958125114441,0.7801826469513027,44.141806523005165,5.404154459635417e-06,0.15906604631788243,0.43711489355664,0.7829430269136666,0.7431192660550459,0.8486842105263158,0.36363636363636365
55,0.7591763652641003,112.32794857025146,0.7545398410868627,44.73396603266398,0.00017213821411132812,0.1292441144557979,0.4672339354922408,0.7651170919259,0.7339449541284404,0.7302631578947368,0.36363636363636365
56,0.8057296329453895,111.44091868400574,0.7044473126674086,44.19015924135844,0.00017984708150227865,0.04840396410608588,0.39269630461906163,0.8276826284515904,0.6513761467889908,0.756578947368421,0.36363636363636365
57,0.7761862130707251,106.10612225532532,0.8693773180202387,38.74733010927836,6.7551930745442706e-06,0.10512227175547374,0.4088630481278905,0.788535477105907,0.6758409785932722,0.7894736842105263,0.36363636363636365
58,0.7979707549985079,113.54659175872803,0.8687388592763673,45.11457880338033,5.086263020833333e-06,0.14299538989636298,0.40710752983147475,0.8164977280671094,0.6574923547400612,0.7828947368421053,0.36363636363636365
59,0.5362578334825425,108.45508456230164,0.8511924437947923,44.46232485771179,5.0067901611328125e-06,0.128932956162906,0.25522499619831396,0.542118140510311,0.308868501529052,0.881578947368421,1.0
60,0.8498955535660997,104.63102340698242,0.5314478799068149,41.87570667266846,8.503595987955729e-06,0.12501867322866314,0.5268354192029109,0.8692764767563789,0.7308868501529052,0.7763157894736842,0.36363636363636365
61,0.7997612652939421,108.84445238113403,0.7067166525460057,42.51413551966349,7.748603820800781e-05,0.09535080114406884,0.34331551574747593,0.8164977280671094,0.6758409785932722,0.7828947368421053,0.36363636363636365
62,0.7761862130707251,185.9054617881775,0.8338166453572805,77.63082941373189,0.0007197856903076172,0.05625083545029552,0.4059519054322361,0.7864383082838169,0.6972477064220184,0.7828947368421053,0.36363636363636365
63,0.8657117278424351,152.60170245170593,0.7898317790387287,67.997176806132,7.05718994140625e-05,0.17678176669385767,0.42374660217664667,0.8979377839916113,0.6666666666666666,0.7236842105263158,0.36363636363636365
64,0.8871978513876455,126.01546025276184,0.7934617843192537,54.32342688242594,0.0008110205332438151,0.10889417484795562,0.39067821370542194,0.9185599440754981,0.6880733944954128,0.7631578947368421,0.36363636363636365
65,0.8752611160847508,111.0847647190094,0.5039428842019155,43.41422041257223,0.00010665257771809895,0.17962036918955349,0.37405118282677224,0.9003844809507165,0.672782874617737,0.875,0.36363636363636365
