timestamp,sender_id,event,source,queue_length
290.063033919,camera2,sample_received,live,2
290.097875072,camera1,sample_received,live,2
290.107195987,camera0,sample_received,live,3
290.110049273,camera2,sample_received,live,3
290.144227013,camera1,sample_received,live,3
290.153108083,camera0,sample_received,live,4
290.153781795,camera2,sample_received,live,4
290.190210672,camera1,sample_received,live,4
290.197146578,camera0,sample_received,live,5
290.200908388,camera2,sample_received,live,5
290.235456391,camera1,sample_received,live,5
290.243155316,camera0,sample_received,live,6
290.244142115,camera2,sample_received,live,6
290.278907275,camera1,sample_received,live,6
290.290290964,camera0,sample_received,live,7
290.293548137,camera2,sample_received,live,7
290.327336197,camera1,sample_received,live,7
290.333965888,camera0,sample_received,live,8
290.336269885,camera2,sample_received,live,8
290.373259213,camera1,sample_received,live,8
290.380293384,camera0,sample_received,live,9
290.382950692,camera2,sample_received,live,9
290.420713018,camera1,sample_received,live,9
290.425084789,camera0,sample_received,live,10
290.429958272,camera2,sample_received,live,10
290.466656513,camera1,sample_received,live,10
290.470574705,camera0,sample_received,live,11
290.477111333,camera2,sample_received,live,11
290.510753247,camera1,sample_received,live,11
290.514496802,camera0,sample_received,live,12
290.527269865,camera2,sample_received,live,12
290.558225697,camera1,sample_received,live,12
290.561042936,camera0,sample_received,live,13
290.573884698,camera2,sample_received,live,13
290.607272638,camera0,sample_received,live,14
290.610141693,camera1,sample_received,live,13
290.620422476,camera2,sample_received,live,14
290.650315948,camera1,sample_received,live,14
290.653293477,camera0,sample_received,live,15
290.668359647,camera2,sample_received,live,15
290.697374973,camera1,sample_received,live,15
290.700433244,camera0,sample_received,live,16
290.725385988,camera2,sample_received,live,16
290.745459831,camera1,sample_received,live,16
290.746327566,camera0,sample_received,live,17
290.771341427,camera2,sample_received,live,17
290.786597421,camera1,sample_received,live,17
290.787799343,camera0,sample_received,live,18
290.817939297,camera2,sample_received,live,18
290.832510259,camera1,sample_received,live,18
290.833456952,camera0,sample_received,live,19
290.863307173,camera2,sample_received,live,19
290.877477754,camera0,sample_received,live,20
290.878350891,camera1,sample_received,live,19
290.911057513,camera2,sample_received,live,20
290.92295707,camera1,sample_received,live,20
290.92369372,camera0,sample_received,live,21
290.956681611,camera2,sample_received,live,21
290.966941526,camera1,sample_received,live,21
290.96763751,camera0,sample_received,live,22
291.002548548,camera2,sample_received,live,22
291.011681131,camera1,sample_received,live,22
291.012544177,camera0,sample_received,live,23
291.048451753,camera2,sample_received,live,23
291.056927053,camera1,sample_received,live,23
291.057762128,camera0,sample_received,live,24
291.096372929,camera2,sample_received,live,24
291.101638696,camera1,sample_received,live,24
291.102802877,camera0,sample_received,live,25
291.142703424,camera2,sample_received,live,25
291.146671019,camera0,sample_received,live,26
291.147726306,camera1,sample_received,live,25
291.189208036,camera2,sample_received,live,26
291.191959361,camera0,sample_received,live,27
291.192793264,camera1,sample_received,live,26
291.235486363,camera2,sample_received,live,27
291.236740123,camera1,sample_received,live,27
291.237794218,camera0,sample_received,live,28
291.281383206,camera1,sample_received,live,28
291.286195865,camera0,sample_received,live,29
291.288331096,camera2,sample_received,live,28
291.328062927,camera0,sample_received,live,30
291.329399591,camera1,sample_received,live,29
291.332761531,camera2,sample_received,live,29
291.375342621,camera1,sample_received,live,30
291.378386485,camera0,sample_received,live,31
291.379192244,camera2,sample_received,live,30
291.419645006,camera0,sample_received,live,32
291.422646169,camera1,sample_received,live,31
291.423591891,camera2,sample_received,live,31
291.467353093,camera1,sample_received,live,32
291.470464322,camera0,sample_received,live,33
291.47172763,camera2,sample_received,live,32
291.510261686,camera0,sample_received,live,34
291.511310762,camera1,sample_received,live,33
291.51658736,camera2,sample_received,live,33
291.555387625,camera0,sample_received,live,35
291.556070594,camera1,sample_received,live,34
291.562617773,camera2,sample_received,live,34
291.599878844,camera1,sample_received,live,35
291.600823393,camera0,sample_received,live,36
291.608150784,camera2,sample_received,live,35
291.645556997,camera1,sample_received,live,36
291.646400868,camera0,sample_received,live,37
291.65586901,camera2,sample_received,live,36
291.691393827,camera0,sample_received,live,38
291.692251976,camera1,sample_received,live,37
291.702579978,camera2,sample_received,live,37
291.735294359,camera1,sample_received,live,38
291.736093356,camera0,sample_received,live,39
291.748707012,camera2,sample_received,live,38
291.781180823,camera1,sample_received,live,39
291.782464709,camera0,sample_received,live,40
291.795482121,camera2,sample_received,live,39
291.825968998,camera1,sample_received,live,40
291.826746335,camera0,sample_received,live,41
291.84276949,camera2,sample_received,live,40
291.870440049,camera1,sample_received,live,41
291.871174876,camera0,sample_received,live,42
291.890481614,camera2,sample_received,live,41
291.915298497,camera1,sample_received,live,42
291.916110458,camera0,sample_received,live,43
291.936512418,camera2,sample_received,live,42
291.96226696,camera0,sample_received,live,44
291.965083347,camera1,sample_received,live,43
291.983711615,camera2,sample_received,live,43
292.011435749,camera1,sample_received,live,44
292.012365181,camera0,sample_received,live,45
292.033364833,camera2,sample_received,live,44
292.055168962,camera0,sample_received,live,46
292.056106239,camera1,sample_received,live,45
292.081436817,camera2,sample_received,live,45
292.100249882,camera0,sample_received,live,47
292.103324002,camera1,sample_received,live,46
292.129383417,camera2,sample_received,live,46
