round,frame_accuracy,balanced_accuracy,samples_processed,samples_trained,samples_received,stale_samples_discarded,live_samples,live_samples_trained,fallback_samples,fallback_samples_trained,fallback_delay,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_senders,compute_time,train_loss_avg,round_wall_time,samples_trained_per_second,images_processed_per_second,replay_buffer_size,queue_length_avg,queue_length_max,outage_active,resource_scope,cpu_avg,cpu_peak,cpu_var,cpu_avg_host_percent,cpu_peak_host_percent,memory_avg_mb,memory_peak_mb,acc_car,pred_car,test_car,train_car,received_car,buffer_car,acc_van,pred_van,test_van,train_van,received_van,buffer_van,acc_bus,pred_bus,test_bus,train_bus,received_bus,buffer_bus,acc_others,pred_others,test_others,train_others,received_others,buffer_others,received_camera0,queue_fill_seconds_camera0,queue_fill_complete_camera0,received_camera1,queue_fill_seconds_camera1,queue_fill_complete_camera1,received_camera2,queue_fill_seconds_camera2,queue_fill_complete_camera2
15,0.09124594719777675,0.3912403621588764,256,256,212,970,84,74,128,182,0.7696909373181694,1.3162009066666467,1.9747593949999782,1,0.8086674213409424,0.3993053287267685,2.828883409500122,90.49506923483867,74.94122921010077,3095,1358.6666666666667,4040,True,receive_fallback_train_excludes_evaluation,88.39649122807018,318.7,16050.921742074486,29.465497076023393,106.23333333333333,1284.3003700657894,1398.40234375,0.0,0,3653,69,180,2627,0.6181015452538632,2516,453,73,27,303,0.5555555555555556,532,189,71,4,130,0.391304347826087,1270,23,43,1,35,42,1.9738433249999616,False,128,0.0,True,42,1.9747593949999782,False
16,0.09634089856415007,0.3989346386409444,256,256,211,961,83,76,128,180,0.6670649679922218,1.3241599200000185,2.0102988480000477,1,0.8417184352874756,0.4956452399492264,2.8565986156463623,89.61707066502758,73.8640699621907,3306,1359.0,4040,True,receive_fallback_train_excludes_evaluation,88.71724137931035,298.6,15501.869357907253,29.57241379310345,99.53333333333335,1297.2134294181035,1410.0390625,0.0,0,3653,73,173,2800,0.6247240618101545,2564,453,74,21,324,0.6666666666666666,631,189,66,17,147,0.30434782608695654,1123,23,43,0,35,41,1.962180912000008,False,128,0.0,True,42,2.0102988480000477,False
17,0.0984251968503937,0.4177772750332497,256,256,299,903,43,79,256,177,1.2720989460713972,0.6570573513333405,1.9711720540000215,2,0.9740476608276367,0.4254309684038162,2.993569850921631,85.51662822271717,99.8807493695017,3605,1512.3333333333333,4050,True,receive_fallback_train_excludes_evaluation,110.61639344262298,314.4,14514.079731255038,36.87213114754099,104.8,1310.8491290983607,1419.078125,0.0,0,3653,68,257,3057,0.6048565121412803,2425,453,73,39,363,0.7619047619047619,725,189,71,2,149,0.30434782608695654,1168,23,44,1,36,43,1.9711720540000215,False,128,0.0,True,128,0.0,True
18,0.0984251968503937,0.4273240889278897,256,256,299,500,43,70,256,186,1.2629760168695034,0.6650797500000181,1.9952392500000542,2,0.9546325206756592,0.43313269317150116,2.977583169937134,85.9757680607138,100.41701035216182,3904,2315.3333333333335,4032,True,receive_fallback_train_excludes_evaluation,107.56666666666668,315.8,15098.600888888888,35.85555555555556,105.26666666666667,1415.7971354166666,1531.125,0.0,0,3653,73,268,3325,0.6048565121412803,2232,453,71,27,390,0.7566137566137566,708,189,69,0,149,0.34782608695652173,1378,23,43,4,40,43,1.9952392500000542,False,128,0.0,True,128,0.0,True
19,0.09726725335803613,0.4191685824280123,256,256,297,505,41,69,256,187,1.1467443835233218,0.6590993483333326,1.9772980449999977,2,0.895390510559082,0.42869704216718674,2.918943405151367,87.70296798088302,101.74914644657132,4201,2703.3333333333335,4051,True,receive_fallback_train_excludes_evaluation,94.39491525423729,318.3,16609.134380925025,31.46497175141243,106.10000000000001,1486.9287605932204,1600.91015625,0.0,0,3653,66,260,3585,0.609271523178808,2182,453,69,29,419,0.7195767195767195,626,189,70,5,154,0.34782608695652173,1510,23,51,3,43,41,1.9772980449999977,False,128,0.0,True,128,0.0,True
20,0.09031959240389069,0.4606640493481841,256,256,298,486,42,64,256,192,1.2089493656309294,0.6559454889999946,1.9678364669999837,2,0.827617883682251,0.4156249538064003,2.8462958335876465,89.94145899350238,104.69747960962387,4499,2680.3333333333335,4036,True,receive_fallback_train_excludes_evaluation,88.1758620689655,318.6,15416.166658739598,29.3919540229885,106.2,1501.2720231681035,1612.8125,0.0,0,3653,66,247,3832,0.5408388520971302,1715,453,68,24,443,0.6931216931216931,585,189,67,19,173,0.6086956521739131,2018,23,55,8,51,42,1.9678364669999837,False,128,0.0,True,128,0.0,True
21,0.08661417322834646,0.4495214024439478,256,256,214,4546,86,73,128,183,0.614717883133987,1.3398264086666813,2.0107669840000426,1,0.8008379936218262,0.37462395429611206,2.8338117599487305,90.33768707510465,75.5166602893453,4713,1354.3333333333333,4029,True,receive_fallback_train_excludes_evaluation,86.6396551724138,313.5,15219.835841260405,28.879885057471267,104.5,1487.6834590517242,1584.5703125,0.0,0,3653,66,173,4005,0.5121412803532008,1487,453,64,18,461,0.6772486772486772,568,189,66,18,191,0.6086956521739131,2263,23,60,5,56,43,2.0107669840000426,False,43,2.0087122420000014,False,128,0.0,True
22,0.09008800370541918,0.46165392285461393,256,256,212,994,84,69,128,187,0.7745523860998328,1.3196869503333346,1.9800216190000128,1,0.7613837718963623,0.48436035215854645,2.7814271450042725,92.03908161312158,76.21986446086632,4925,1352.0,4022,True,receive_fallback_train_excludes_evaluation,83.7,308.2,15260.0550877193,27.900000000000002,102.73333333333333,1433.2121025219299,1549.7265625,0.0,0,3653,65,158,4163,0.5342163355408388,1634,453,68,13,474,0.7037037037037037,611,189,66,41,232,0.6086956521739131,2073,23,57,0,56,42,1.979039231999991,False,42,1.9800216190000128,False,128,0.0,True
23,0.08985641500694766,0.46784391694849903,256,256,212,987,84,65,128,191,0.5893158132146507,1.3184987966666313,1.9782917819999284,1,0.7748761177062988,0.4235544875264168,2.7940921783447266,91.62188777596424,75.87437581447038,5137,1353.0,4025,True,receive_fallback_train_excludes_evaluation,85.89649122807016,298.6,15254.237531548171,28.632163742690054,99.53333333333335,1439.5964912280701,1553.65234375,0.0005474952094169176,2,3653,66,148,4311,0.5055187637969095,1546,453,66,15,489,0.7566137566137566,656,189,66,49,281,0.6086956521739131,2114,23,58,0,56,42,1.9782917819999284,False,42,1.9772046079999654,False,128,0.0,True
24,0.09796201945345068,0.44626770180200653,256,256,212,986,84,81,128,175,0.6709127579858334,1.3205749189999854,1.9812558329999774,1,0.769254207611084,0.530195452272892,2.7878856658935547,91.82586041165665,76.04329065340316,5349,1355.6666666666667,4033,True,receive_fallback_train_excludes_evaluation,84.13684210526316,318.2,15115.691800554016,28.04561403508772,106.06666666666666,1446.136992872807,1562.734375,0.0016424856282507528,6,3653,65,128,4439,0.5761589403973509,2206,453,64,35,524,0.7724867724867724,729,189,66,49,330,0.43478260869565216,1377,23,61,0,56,42,1.9804689239999789,False,42,1.9812558329999774,False,128,0.0,True
25,0.0968040759610931,0.45026333148993675,256,256,212,982,84,81,128,175,0.2052074075164883,1.3197614083333065,1.9802195229999597,1,0.6651055812835693,0.509579986333847,2.6836109161376953,95.39385849884683,78.99803906935753,5561,1337.3333333333333,3982,False,receive_fallback_train_excludes_evaluation,77.15636363636364,318.2,14603.34245950413,25.71878787878788,106.06666666666666,1462.9987926136364,1578.86328125,0.0,0,3653,64,170,4609,0.5673289183222958,2134,453,65,35,559,0.798941798941799,757,189,65,4,334,0.43478260869565216,1427,23,62,3,59,42,1.9790647019999597,False,42,1.9802195229999597,False,128,0.0,True
26,0.09402501157943492,0.4665888174382272,256,256,126,5049,126,73,0,183,0.0,1.9772562286667228,1.9795141900000317,0,0.6894547939300537,0.44937676936388016,2.7122106552124023,94.38794863076437,46.45656846670434,5687,15.0,15,False,receive_fallback_train_excludes_evaluation,79.63818181818182,318.2,14956.608542148764,26.546060606060607,106.06666666666666,1461.887997159091,1572.56640625,0.0,0,3653,65,112,4721,0.5298013245033113,1722,453,66,4,563,0.8148148148148148,747,189,66,10,344,0.5217391304347826,1849,23,59,0,59,42,1.9758086340000318,False,42,1.976445862000105,False,42,1.9795141900000317,False
27,0.09634089856415007,0.472878456178197,256,256,127,1462,127,91,0,165,0.0,2.0017832570000187,2.0032465250000087,0,0.6311938762664795,0.4699397422373295,2.6406326293945312,96.94646546070214,48.094535599645205,5814,13.0,13,False,receive_fallback_train_excludes_evaluation,93.45555555555555,1010.0,29787.4713580247,31.15185185185185,336.6666666666667,1482.8948929398148,1596.3671875,0.0,0,3653,65,83,4804,0.5496688741721855,1833,453,64,25,588,0.8201058201058201,737,189,67,19,363,0.5217391304347826,1748,23,60,0,59,43,2.0006643699999813,False,42,2.0014388760000656,False,42,2.0032465250000087,False
28,0.0998147290412228,0.46727197378510554,256,256,126,1329,126,81,0,175,0.0,1.9809962799999614,1.9845950419999099,0,0.6737170219421387,0.44269175454974174,2.6849215030670166,95.34729402985087,46.92874628031723,5940,14.666666666666666,15,False,receive_fallback_train_excludes_evaluation,78.05272727272727,318.1,14592.002492561984,26.017575757575756,106.03333333333335,1556.5089488636363,1596.3671875,0.0002737476047084588,1,3653,66,107,4911,0.5916114790286976,2075,453,66,7,595,0.798941798941799,672,189,64,12,375,0.4782608695652174,1570,23,60,0,59,42,1.9787314589999596,False,42,1.979662339000015,False,42,1.9845950419999099,False
29,0.103056970819824,0.5070007409081179,256,256,128,1427,128,96,0,160,0.0,1.9943223319999863,1.9978928079999605,0,0.6629078388214111,0.37758056819438934,2.6734814643859863,95.7552926437794,47.8776463218897,6068,14.0,14,False,receive_fallback_train_excludes_evaluation,77.83888888888889,318.6,14666.664598765434,25.946296296296296,106.2,1496.4644097222222,1606.78515625,0.0008212428141253764,3,3653,66,110,5021,0.5783664459161147,1917,453,66,6,601,0.8835978835978836,818,189,64,12,387,0.5652173913043478,1580,23,60,0,59,43,1.9920567760000267,False,43,1.993017411999972,False,42,1.9978928079999605,False
30,0.09402501157943492,0.48055599786389314,256,256,126,1412,126,94,0,162,0.0,1.9713223523333454,1.974624005999999,0,0.654691219329834,0.3657608851790428,2.670746326446533,95.85335659362741,47.177823948425996,6194,14.666666666666666,15,False,receive_fallback_train_excludes_evaluation,78.06296296296296,318.3,14660.756406035665,26.020987654320987,106.10000000000001,1501.3940248842594,1612.18359375,0.0008212428141253764,3,3653,65,112,5133,0.47902869757174393,1485,453,65,0,601,0.9206349206349206,1128,189,65,14,401,0.5217391304347826,1702,23,61,0,59,42,1.970145687000013,False,42,1.9691973640000242,False,42,1.974624005999999,False
31,0.09796201945345068,0.4896504608540927,256,256,126,1434,126,95,0,161,0.0,1.9749264113332476,1.9776815809998425,0,0.655583381652832,0.3508440628647804,2.662503719329834,96.1501004266903,47.32387755376163,6320,14.0,14,False,receive_fallback_train_excludes_evaluation,77.30185185185184,318.3,14353.623144718793,25.76728395061728,106.10000000000001,1508.9349681712963,1615.6484375,0.0005474952094169176,2,3653,65,99,5232,0.5209713024282561,1648,453,66,10,611,0.9153439153439153,1063,189,66,17,418,0.5217391304347826,1605,23,59,0,59,42,1.974010319999934,False,42,1.9730873329999667,False,42,1.9776815809998425,False
32,0.10444650301065309,0.46778266741444813,256,256,129,1455,129,96,0,160,0.0,1.9985493370000615,2.0025059780000447,0,0.6504349708557129,0.31076446175575256,2.6665565967559814,96.00396268034912,48.37699681939468,6449,14.0,14,False,receive_fallback_train_excludes_evaluation,171.73703703703703,5075.7,468106.8815912207,57.245679012345676,1691.8999999999999,1517.546585648148,1615.859375,0.003011223651793047,11,3653,66,101,5333,0.6026490066225165,2038,453,64,21,632,0.8306878306878307,716,189,64,7,425,0.43478260869565216,1553,23,62,0,59,43,1.9973092510001607,False,43,1.9958327819999795,False,43,2.0025059780000447,False
33,0.10375173691523853,0.47905792851961204,256,256,126,1425,126,102,0,154,0.0,1.9673907209999772,1.968355345999953,0,0.657238245010376,0.3898995518684387,2.6742753982543945,95.7268649919531,47.11556636322691,6575,14.666666666666666,15,False,receive_fallback_train_excludes_evaluation,165.18703703703702,4683.4,399851.94668381335,55.06234567901234,1561.1333333333332,1505.4828559027778,1615.859375,0.0010949904188338351,4,3653,65,91,5424,0.6114790286975718,2257,453,65,13,645,0.8253968253968254,676,189,66,22,447,0.4782608695652174,1381,23,60,0,59,42,1.9664519479999854,False,42,1.9673648689999936,False,42,1.968355345999953,False
34,0.0998147290412228,0.48587328298250276,256,256,128,1421,128,95,0,161,0.0,1.9864307573334372,2.0011512080000102,0,0.6686992645263672,0.3356460779905319,2.6854336261749268,95.3291109133242,47.6645554566621,6703,14.333333333333334,15,False,receive_fallback_train_excludes_evaluation,78.47818181818182,318.2,14721.537342148757,26.15939393939394,106.06666666666666,1505.7609375,1615.859375,0.0008212428141253764,3,3653,65,112,5536,0.5584988962472406,2134,453,65,4,649,0.8624338624338624,752,189,65,12,459,0.5217391304347826,1429,23,61,0,59,43,2.0011512080000102,False,43,2.0003039580001314,False,42,1.95783710600017,False
35,0.09911996294580824,0.4860468391940972,256,256,126,1413,126,104,0,152,0.0,1.964755673333381,1.968678483000076,0,0.6664505004882812,0.3313758000731468,2.673030138015747,95.77146039589168,47.13751566360294,6829,14.666666666666666,15,False,receive_fallback_train_excludes_evaluation,77.66111111111111,317.9,14606.936820987656,25.887037037037036,105.96666666666665,1532.939525462963,1642.5390625,0.0010949904188338351,4,3653,65,100,5636,0.543046357615894,2058,453,67,17,666,0.8783068783068783,846,189,64,9,468,0.5217391304347826,1410,23,60,0,59,42,1.9631900720000885,False,42,1.9623984649999784,False,42,1.968678483000076,False
36,0.10166743862899491,0.4622227232652035,256,256,127,1504,127,92,0,164,0.0,1.9879370396668037,1.9903250680001747,0,0.6758778095245361,0.36926648020744324,2.688448190689087,95.22221811326169,47.239147267125915,6956,14.666666666666666,15,False,receive_fallback_train_excludes_evaluation,167.78363636363636,4911.1,431145.8653685951,55.92787878787879,1637.0333333333335,1542.2876420454545,1652.73046875,0.001368738023542294,5,3653,65,101,5737,0.5673289183222958,2235,453,65,17,683,0.8888888888888888,945,189,65,9,477,0.391304347826087,1133,23,61,0,59,42,1.987173865000159,False,43,1.9863121860000774,False,42,1.9903250680001747,False
37,0.10097267253358036,0.45121628424545795,256,256,124,1444,124,128,0,128,0.0,1.9093407369998658,1.9761507629998505,0,0.7148997783660889,0.32029975205659866,2.7311651706695557,93.73288834715207,45.40186779315179,7080,16.0,16,False,receive_fallback_train_excludes_evaluation,81.71071428571429,318.3,15129.785956632652,27.236904761904764,106.10000000000001,1547.4321986607142,1655.98828125,0.0008212428141253764,3,3653,65,109,5846,0.5673289183222958,2225,453,65,2,685,0.8888888888888888,921,189,66,13,490,0.34782608695652173,1169,23,60,0,59,43,1.9761507629998505,False,43,1.9727691159998813,False,38,1.7791023319998658,False
38,0.10282538212135248,0.4644072342345651,256,256,126,1461,126,127,0,129,0.0,2.0047624110000015,2.0055499560000953,0,0.6483340263366699,0.3443521335721016,2.6659903526306152,96.02435348177343,47.26198647931036,7206,14.0,14,False,receive_fallback_train_excludes_evaluation,76.62037037037037,308.3,14507.948659122081,25.540123456790123,102.76666666666667,1551.859157986111,1662.69921875,0.0008212428141253764,3,3653,64,110,5956,0.58719646799117,2132,453,66,3,688,0.8783068783068783,740,189,65,13,503,0.391304347826087,1443,23,61,0,59,42,2.0055499560000953,False,42,2.0039100819999476,False,42,2.0048271949999616,False
39,0.11463640574339973,0.46001016586227567,256,256,132,1436,132,111,0,145,0.0,1.9986781010001475,2.000288669000156,0,0.7797329425811768,0.3403219059109688,2.7863879203796387,91.87521885506905,47.373159722144976,7338,16.0,16,False,receive_fallback_train_excludes_evaluation,86.08771929824562,318.3,15579.409498307172,28.69590643274854,106.10000000000001,1564.7486979166667,1666.67578125,0.011223651793046812,41,3653,65,113,6069,0.6291390728476821,2439,453,66,2,690,0.8518518518518519,626,189,66,17,520,0.34782608695652173,1212,23,59,0,59,44,1.9982796830001917,False,44,1.9974659510000947,False,44,2.000288669000156,False
40,0.12297359888837425,0.4514767619744703,256,256,126,1551,126,122,0,134,0.0,1.9633541533332846,1.9660220440000558,0,0.647815465927124,0.34643344208598137,2.6644885540008545,96.07847615468417,47.28862498238362,7464,15.0,15,False,receive_fallback_train_excludes_evaluation,86.57407407407408,523.1,18057.705994513035,28.858024691358025,174.36666666666667,1579.7306134259259,1679.03125,0.021899808376676703,80,3653,66,96,6165,0.6225165562913907,2432,453,65,10,700,0.8571428571428571,634,189,64,20,540,0.30434782608695654,1172,23,61,0,59,42,1.9660220440000558,False,42,1.9617284419998668,False,42,1.962311973999931,False
41,0.12413154238073182,0.4598891597138367,256,256,125,1440,125,111,0,145,0.0,1.9619567883333577,1.9625461279999854,0,0.6570301055908203,0.3120599016547203,2.6678380966186523,95.95784703894394,46.85441749948435,7589,15.0,15,False,receive_fallback_train_excludes_evaluation,76.97962962962964,318.5,14529.300881344308,25.65987654320988,106.16666666666667,1569.8279803240741,1679.78515625,0.028469750889679714,104,3653,64,88,6253,0.5584988962472406,2197,453,64,4,704,0.9047619047619048,801,189,64,33,573,0.34782608695652173,1216,23,64,0,59,42,1.9625461279999854,False,42,1.9620132000000012,False,41,1.9613110370000868,False
42,0.12343677628531728,0.4637036835145171,256,256,126,1480,126,124,0,132,0.0,1.975681573999888,1.9766022509998038,0,0.6502659320831299,0.29787955805659294,2.6613500118255615,96.19178193866954,47.34439267293891,7715,14.0,14,False,receive_fallback_train_excludes_evaluation,113.17962962962963,1932.2,76837.66051097395,37.726543209876546,644.0666666666667,1563.644314236111,1679.87109375,0.033397207774431975,122,3653,64,81,6334,0.4988962472406181,2040,453,65,9,713,0.9312169312169312,1043,189,65,36,609,0.391304347826087,1113,23,62,0,59,42,1.975600945999986,False,42,1.9766022509998038,False,42,1.9748415249998743,False
43,0.11324687355257064,0.47206845910803125,256,256,127,1487,127,120,0,136,0.0,2.0041153963332667,2.004755083999953,0,0.6291944980621338,0.3484934791922569,2.6410279273986816,96.93195491959484,48.08733701089275,7842,13.0,13,False,receive_fallback_train_excludes_evaluation,150.4777777777778,4108.0,309481.9828395062,50.159259259259265,1369.3333333333333,1567.2681568287037,1680.33203125,0.021626060771968245,79,3653,65,95,6429,0.4900662251655629,1898,453,66,2,715,0.9417989417989417,1111,189,65,30,639,0.43478260869565216,1230,23,60,0,59,43,2.004143658999965,False,42,2.003447445999882,False,42,2.004755083999953,False
