round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained
0,0,1782081119.8329885,0.6222102373902654,0.9325407547509682,196.13333333333333,208.1,11103
1,0,1782081146.2538621,0.6013680782554478,0.9355129244348375,197.08850574712645,208.2,11103
2,0,1782081173.537813,0.3312630556074196,0.9599207421417635,196.99080459770116,208.1,11103
3,0,1782081200.4668415,0.5035996784472132,0.9559578492299379,196.87873563218392,210.4,11103
4,0,1782081227.3189723,0.2662235607136169,0.9679365937134108,197.06206896551726,207.4,11103
5,0,1782081254.6136909,0.27264990594944566,0.9697379086733315,196.82471264367817,205.8,11103
6,0,1782081281.9271288,0.09575701508157212,0.9876609925245429,197.08908045977012,210.2,11103
7,0,1782081307.7057555,0.6383618671479153,0.9546068630099973,196.95114942528735,208.3,11103
8,0,1782081333.4075606,0.10354980664199283,0.9874808610285508,196.99885057471266,209.9,11103
9,0,1782081360.1162155,0.14115972972499077,0.9841484283526974,196.86494252873564,209.4,11103
10,0,1782081388.423637,0.05726239989423353,0.9933351346482933,196.8637931034483,210.1,11103
11,0,1782081414.9812806,0.2587600020282292,0.9779338917409709,196.9270114942529,210.2,11103
12,0,1782081441.8434148,0.05134945915001324,0.9939655948842655,196.8005747126437,209.6,11103
13,0,1782081468.02559,0.3761953632738682,0.9850490858326578,196.91436781609195,209.4,11103
14,0,1782081494.5892935,0.041566212753893744,0.99522651535621,196.85919540229884,210.5,11103
15,0,1782081521.4043193,0.12713402967547782,0.9891020444924795,196.79597701149424,210.5,11103
16,0,1782081548.0166495,0.04411178769078106,0.9945960551202377,196.9235632183908,206.7,11103
17,0,1782081574.9963286,0.10886849889507645,0.9910834909483923,196.71666666666664,211.1,11103
18,0,1782081602.372486,0.02789621073864917,0.9968476988201387,196.66091954022988,209.3,11103
19,0,1782081629.5820625,0.05075315324537424,0.9940556606322616,196.64367816091954,208.6,11103
20,0,1782081657.2116623,0.02886389195804566,0.9966675673241466,196.617816091954,210.2,11103
21,0,1782081684.593405,0.03798150871544153,0.994956318112222,196.91034482758621,209.7,11103
22,0,1782081712.1253898,0.02816968743668283,0.9968476988201387,197.0344827586207,211.0,11103
23,0,1782081739.6555953,0.04163501055405379,0.9954066468522021,197.11724137931034,211.4,11103
24,0,1782081767.9506347,0.02380391747741167,0.997388093308115,197.1109195402299,209.6,11103
25,0,1782081797.0452962,0.09977966387367783,0.9926146086643249,197.1126436781609,208.4,11103
26,0,1782081828.1853979,0.030257718061593237,0.9958569755921823,196.83160919540228,208.9,11103
27,0,1782081859.3867226,0.06052572521862046,0.9950463838602179,196.83793103448278,210.9,11103
28,0,1782081890.3707945,0.01818893972904334,0.9978384220480951,197.04597701149424,208.7,11103
29,0,1782081920.7520437,0.05666034292993698,0.995136449608214,197.10114942528736,206.7,11103
30,0,1782081952.2405682,0.024541570115490748,0.9967576330721427,196.91149425287355,209.5,11103
31,0,1782081984.073918,0.02353392647456405,0.9970278303161307,196.6574712643678,208.9,11103
32,0,1782082015.7732944,0.021983959880646487,0.9972980275601189,196.81724137931033,207.4,11103
33,0,1782082047.3642302,0.01799742741761081,0.9977483563000991,196.8425287356322,208.5,11103
34,0,1782082078.9794328,0.015030583647675767,0.9979284877960911,196.65459770114944,206.5,11103
35,0,1782082110.4500325,0.023259329216702537,0.9970278303161307,196.7005747126437,211.7,11103
36,0,1782082142.8116813,0.008536861781910123,0.9989192110240476,196.5287356321839,207.2,11103
37,0,1782082174.9197736,0.021809324318243836,0.9977483563000991,196.53045977011496,208.2,11103
38,0,1782082207.0296957,0.017224740334424712,0.9979284877960911,196.6344827586207,208.5,11103
39,0,1782082238.5513895,0.02093417437127943,0.997568224804107,196.50344827586207,207.5,11103
40,0,1782082270.5731423,0.01611429113066559,0.9979284877960911,196.58908045977012,208.7,11103
41,0,1782082302.3062732,0.030818581957129058,0.9955867783481942,196.6494252873563,206.6,11103
42,0,1782082334.361078,0.009345471277262324,0.9990993425200396,196.6706896551724,205.8,11103
43,0,1782082366.3102407,0.012236259969732788,0.9983788165360713,196.61839080459768,209.9,11103
44,0,1782082398.6484597,0.013703877696147613,0.9984688822840674,196.4873563218391,209.6,11103
45,0,1782082430.1281958,0.1359648812000975,0.9899126362244438,196.66379310344828,206.9,11103
46,0,1782082461.5469985,0.013773506066758756,0.9985589480320634,196.68103448275863,208.5,11103
47,0,1782082492.1383326,0.06667658618173312,0.995136449608214,197.03333333333336,207.1,11103
48,0,1782082523.0610542,0.007466021909153667,0.9990993425200396,196.94425287356324,209.2,11103
49,0,1782082553.5283442,0.026824524869066956,0.9971178960641268,197.10689655172413,210.6,11103
50,0,1782082584.2883067,0.005673074693170821,0.9993695397640278,196.87988505747126,206.2,11103
51,0,1782082614.9673288,0.04130124403400259,0.9970278303161307,196.99655172413793,207.8,11103
52,0,1782082645.692546,0.011588702516029304,0.9981986850400792,197.06781609195403,208.4,11103
53,0,1782082676.091254,0.029174771059539077,0.9970278303161307,197.22241379310344,206.7,11103
54,0,1782082707.4263442,0.007194490549528316,0.9990993425200396,196.81264367816092,209.2,11103
55,0,1782082738.7360334,0.007563333424601578,0.9991894082680357,196.78793103448274,210.0,11103
