round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained
0,1,1782081105.32725,0.09168633071589317,0.9871794871794872,193.77179487179487,206.2,4992
1,1,1782081134.1815155,2.882054351581987e-07,1.0,194.75641025641025,206.8,4992
2,1,1782081160.8664436,3.300839017908239e-05,1.0,194.58076923076922,203.8,4992
3,1,1782081187.9651697,0.0,1.0,194.50384615384615,205.7,4992
4,1,1782081214.6298885,8.297268318686772e-06,1.0,194.59102564102565,204.3,4992
5,1,1782081241.951756,8.52488136962379e-08,1.0,194.63333333333333,206.1,4992
6,1,1782081269.433658,0.0003834001976287847,1.0,194.39615384615385,205.8,4992
7,1,1782081296.691797,0.0,1.0,194.23717948717947,204.7,4992
8,1,1782081322.321832,4.223908543862146e-05,1.0,193.97564102564104,206.6,4992
9,1,1782081347.4201012,8.431978588856299e-08,1.0,194.79102564102564,205.8,4992
10,1,1782081374.391114,0.0009618713556737755,0.9997996794871795,194.58205128205128,205.0,4992
11,1,1782081403.403401,0.0,1.0,194.20128205128205,206.3,4992
12,1,1782081428.9535751,0.0011599329120979445,1.0,194.97051282051282,203.8,4992
13,1,1782081456.289447,0.0,1.0,194.42692307692306,206.6,4992
14,1,1782081482.0598226,0.00012163851030067008,1.0,194.70128205128205,204.8,4992
15,1,1782081508.7114403,1.4328028421836883e-09,1.0,194.70256410256408,204.0,4992
16,1,1782081535.846871,0.0008594721209908562,0.9997996794871795,194.47307692307692,203.6,4992
17,1,1782081562.7549145,1.4807754605827839e-07,1.0,194.53589743589743,204.9,4992
18,1,1782081589.2252152,0.00012390241730837642,1.0,194.77948717948718,205.3,4992
19,1,1782081616.942842,4.96932870093396e-06,1.0,194.65128205128204,205.5,4992
20,1,1782081644.2342005,3.727628885575617e-05,1.0,194.50384615384615,206.7,4992
21,1,1782081672.0031154,8.52705342244857e-05,1.0,194.78076923076924,204.5,4992
22,1,1782081699.884549,1.6135208933057206e-05,1.0,194.74102564102563,204.0,4992
23,1,1782081727.5923078,2.1308198399935166e-05,1.0,194.9551282051282,205.5,4992
24,1,1782081755.4629054,0.00031220719504773887,1.0,195.08846153846153,207.2,4992
25,1,1782081784.7516146,0.0,1.0,194.49615384615385,202.9,4992
26,1,1782081814.5351415,0.00023572236044890808,1.0,195.02435897435896,205.9,4992
27,1,1782081845.8278842,2.5933635414357234e-08,1.0,195.23076923076923,205.5,4992
28,1,1782081877.5060728,0.00021671148904814578,1.0,194.91410256410256,203.1,4992
29,1,1782081908.3084385,1.537459609598416e-06,1.0,195.06410256410257,202.8,4992
30,1,1782081938.8756764,0.00010860136888835453,1.0,194.74102564102563,202.9,4992
31,1,1782081969.9396672,2.498556941081211e-05,1.0,195.1346153846154,204.4,4992
32,1,1782082001.2514386,2.9331449008091352e-05,1.0,195.35384615384615,206.1,4992
33,1,1782082033.4680521,1.9739803782934896e-05,1.0,195.0628205128205,203.4,4992
34,1,1782082064.9405248,3.710757409744256e-05,1.0,195.13205128205126,205.0,4992
35,1,1782082097.0486422,1.1596323147818802e-05,1.0,194.9025641025641,208.7,4992
36,1,1782082127.9542089,3.455956146753724e-05,1.0,195.3871794871795,202.2,4992
37,1,1782082160.8941975,8.88688457649607e-06,1.0,194.87051282051283,204.6,4992
38,1,1782082193.2923336,7.329464224553179e-05,1.0,194.81923076923076,207.6,4992
39,1,1782082225.1126869,3.2313282285905816e-06,1.0,194.97435897435898,204.1,4992
40,1,1782082256.607718,5.673653538774009e-05,1.0,194.92564102564103,206.9,4992
41,1,1782082288.8339493,8.367808743521448e-07,1.0,194.8474358974359,203.4,4992
42,1,1782082320.6241162,2.9203546233412216e-05,1.0,194.80769230769232,203.7,4992
43,1,1782082352.5770037,3.641083919711732e-06,1.0,194.83717948717947,204.8,4992
