round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained
0,2,1782081097.0683906,0.21293731191311352,0.9991122947181535,190.83333333333334,204.7,2253
1,2,1782081126.4440417,1.3202612318593172e-06,1.0,191.60555555555555,202.6,2253
2,2,1782081152.9639988,5.679340490338802e-05,1.0,191.50555555555556,202.7,2253
3,2,1782081180.3024266,0.0,1.0,191.04166666666666,202.8,2253
4,2,1782081206.718769,4.817910186684833e-06,1.0,191.69722222222222,203.7,2253
5,2,1782081233.9803746,3.127855791965987e-08,1.0,191.36111111111111,203.9,2253
6,2,1782081261.515775,0.0013392274987974833,1.0,191.2611111111111,202.4,2253
7,2,1782081288.7202492,0.0,1.0,191.32777777777778,206.3,2253
8,2,1782081314.046097,0.00015052951472469914,1.0,191.76388888888889,207.6,2253
9,2,1782081340.0784888,5.541359248314078e-08,1.0,191.38333333333333,202.9,2253
10,2,1782081366.991776,0.00023631140701311595,1.0,191.17222222222222,206.5,2253
11,2,1782081395.333223,0.0,1.0,190.89999999999998,205.7,2253
12,2,1782081421.2353551,0.0013186216210101427,1.0,192.2527777777778,205.9,2253
13,2,1782081448.3220685,0.0,1.0,191.61666666666667,205.4,2253
14,2,1782081474.552273,0.0002259139983431524,1.0,191.50833333333333,203.2,2253
15,2,1782081501.4998255,0.0,1.0,191.41666666666666,203.8,2253
16,2,1782081528.0386055,6.345163897518898e-05,1.0,191.75555555555556,203.9,2253
17,2,1782081554.6757712,6.814133068910877e-08,1.0,191.45555555555555,203.0,2253
18,2,1782081582.1000314,0.00017382396976722836,1.0,191.0,203.4,2253
19,2,1782081608.9730132,2.4680003198514672e-08,1.0,191.88888888888889,209.3,2253
20,2,1782081636.5766037,7.626440655402374e-06,1.0,191.6277777777778,202.9,2253
21,2,1782081664.4827886,4.345422492899968e-06,1.0,191.98055555555555,205.5,2253
22,2,1782081691.8342257,1.0117062125281073e-06,1.0,192.00555555555556,205.6,2253
23,2,1782081719.4185593,1.038839829256566e-05,1.0,192.06944444444446,205.7,2253
24,2,1782081747.6452048,1.1042023208266786e-05,1.0,191.45277777777778,201.4,2253
25,2,1782081775.952319,0.0,1.0,192.075,203.5,2253
26,2,1782081805.2631133,7.215076420074203e-05,1.0,192.22500000000002,204.2,2253
27,2,1782081837.060673,1.443548400259509e-08,1.0,191.74166666666667,205.2,2253
28,2,1782081867.8815842,0.0004591820523641617,1.0,192.44444444444446,202.6,2253
29,2,1782081899.143633,3.1044083970144243e-10,1.0,192.45555555555555,204.1,2253
30,2,1782081929.4974642,1.2269950955786276e-05,1.0,192.13333333333333,202.7,2253
31,2,1782081960.600745,1.3909704162836285e-06,1.0,192.2388888888889,202.8,2253
32,2,1782081992.785659,6.720245919966672e-06,1.0,192.01944444444445,201.0,2253
33,2,1782082024.7035043,5.1544506664280565e-06,1.0,191.96666666666667,201.9,2253
34,2,1782082056.1182265,1.1247324096029057e-05,1.0,192.08888888888887,205.3,2253
35,2,1782082087.3379936,2.0681126961056653e-06,1.0,192.3138888888889,203.5,2253
36,2,1782082119.2134802,4.871392505832277e-06,1.0,191.94722222222222,203.3,2253
37,2,1782082151.6398952,1.474524404382338e-06,1.0,191.70277777777778,202.0,2253
38,2,1782082183.7546124,3.1456361298069315e-06,1.0,192.06944444444446,203.1,2253
39,2,1782082215.7404962,1.6231145658074375e-07,1.0,191.85833333333332,205.9,2253
40,2,1782082247.3848662,1.1595919194890003e-05,1.0,191.76388888888889,203.1,2253
41,2,1782082279.1551495,5.399849289840682e-07,1.0,192.2388888888889,205.3,2253
42,2,1782082310.8642082,3.2994475875116246e-05,1.0,192.14722222222224,203.5,2253
43,2,1782082343.3273685,3.56014657199033e-08,1.0,191.7388888888889,204.5,2253
44,2,1782082374.926977,2.167794084693512e-06,1.0,191.88333333333333,206.5,2253
45,2,1782082407.3273005,0.0,1.0,191.95833333333334,202.9,2253
46,2,1782082438.8679686,5.879361664865024e-05,1.0,192.01944444444445,201.7,2253
47,2,1782082470.433152,0.0,1.0,191.8777777777778,201.3,2253
48,2,1782082500.9660003,6.11222957852912e-05,1.0,191.58888888888887,203.7,2253
49,2,1782082531.435101,7.76102080749889e-10,1.0,192.1861111111111,204.5,2253
50,2,1782082562.1326156,3.757780736441766e-05,1.0,191.88055555555556,204.4,2253
51,2,1782082593.2662308,1.3969832605524128e-09,1.0,191.7472222222222,204.9,2253
52,2,1782082623.5889785,1.4011630137209888e-05,1.0,192.13888888888889,203.7,2253
53,2,1782082654.392855,5.7992959416145835e-09,1.0,191.83055555555555,203.2,2253
54,2,1782082685.1239634,1.4397871666950909e-05,1.0,191.60277777777776,206.5,2253
55,2,1782082716.0071633,4.088389350583495e-07,1.0,192.23611111111111,203.4,2253
56,2,1782082747.2422767,4.991723869067025e-07,1.0,191.89999999999998,204.0,2253
57,2,1782082778.3331854,2.264379571894256e-06,1.0,192.49444444444444,202.5,2253
58,2,1782082809.9140751,1.760781514129987e-06,1.0,191.8138888888889,203.2,2253
59,2,1782082841.0064719,8.883285519030911e-07,1.0,191.77499999999998,203.9,2253
60,2,1782082871.7805157,7.266310900847875e-07,1.0,191.94722222222222,202.6,2253
61,2,1782082903.4844687,3.5288341082943355e-06,1.0,191.82777777777778,203.5,2253
62,2,1782082934.5172267,2.7518155167882696e-06,1.0,191.85000000000002,205.5,2253
63,2,1782082965.9045768,1.779211556205788e-06,1.0,192.0861111111111,202.8,2253
64,2,1782082996.9515927,1.793730718365379e-06,1.0,192.31666666666666,206.9,2253
65,2,1782083028.2091155,3.17454274671262e-06,1.0,191.84722222222223,201.9,2253
66,2,1782083059.05317,4.157868958483875e-07,1.0,191.9361111111111,201.9,2253
67,2,1782083090.425292,1.4378968239692203e-06,1.0,191.92777777777778,202.1,2253
68,2,1782083121.834598,3.0713395163251e-07,1.0,192.03333333333333,202.9,2253
69,2,1782083154.022476,1.8596293150189662e-06,1.0,192.11666666666667,203.8,2253
70,2,1782083185.689827,4.274086473724885e-06,1.0,192.35000000000002,203.5,2253
71,2,1782083217.521197,4.827335392532106e-08,1.0,191.8111111111111,202.9,2253
72,2,1782083249.2158232,2.4667080645487022e-05,1.0,191.925,204.4,2253
73,2,1782083280.8894837,6.208812149595862e-09,1.0,192.29166666666666,202.5,2253
74,2,1782083312.4729855,1.5628174280616729e-06,1.0,191.55555555555554,201.5,2253
75,2,1782083344.4128885,1.3969836028711786e-09,1.0,191.89444444444445,202.8,2253
76,2,1782083374.7367465,1.0805887348484347e-05,1.0,191.61944444444444,203.2,2253
77,2,1782083404.8723814,7.196280737975513e-09,1.0,191.88055555555556,203.2,2253
78,2,1782083434.7501428,8.648999599939847e-07,1.0,192.35833333333332,204.4,2253
79,2,1782083465.2988722,2.8611688369465743e-07,1.0,191.875,202.8,2253
80,2,1782083495.8008285,1.4893332320187191e-07,1.0,191.8361111111111,207.6,2253
81,2,1782083526.5349972,2.7949986881418515e-07,1.0,191.85000000000002,203.1,2253
82,2,1782083557.1080885,8.33566212351163e-09,1.0,192.02499999999998,202.6,2253
83,2,1782083587.7009723,2.1641681132352392e-08,1.0,192.13055555555556,204.7,2253
84,2,1782083618.5706325,5.882557763588666e-07,1.0,191.8777777777778,203.6,2253
85,2,1782083649.073277,1.3461199775225788e-08,1.0,192.01944444444445,203.3,2253
86,2,1782083680.2795134,2.769897555025362e-07,1.0,192.23611111111111,204.3,2253
87,2,1782083711.4431412,4.811494841439057e-08,1.0,191.8722222222222,202.9,2253
88,2,1782083741.869689,1.344892185025278e-07,1.0,192.01666666666668,201.5,2253
89,2,1782083772.830835,4.4603131347612884e-07,1.0,191.77222222222224,205.1,2253
90,2,1782083804.2233088,0.0,1.0,191.99166666666667,201.3,2253
91,2,1782083835.2796094,0.0,1.0,192.20277777777778,202.8,2253
92,2,1782083866.6480148,2.0358664272634996e-05,1.0,191.9138888888889,203.3,2253
93,2,1782083897.3882718,0.0,1.0,192.20555555555555,202.8,2253
94,2,1782083928.2681823,1.4145371306043912e-06,1.0,192.05555555555554,203.2,2253
95,2,1782083960.45763,4.0327549966079346e-08,1.0,191.58333333333334,204.1,2253
96,2,1782083990.7859147,6.1704807041707e-08,1.0,191.97222222222223,202.8,2253
97,2,1782084020.8537283,9.173780152194055e-08,1.0,191.60277777777776,202.0,2253
98,2,1782084051.3077755,9.445327298074346e-10,1.0,191.80277777777778,204.7,2253
99,2,1782084081.3299515,7.911550786721122e-08,1.0,191.71388888888887,202.1,2253
