round,seq_num,is_outage,folder,crop_index,label,send_timestamp
0,0,0,normal,1525,0,1782358393.342417
0,1,0,normal,545,0,1782358393.3444855
0,2,0,normal,347,0,1782358393.346411
0,3,0,normal,26,0,1782358393.3485682
0,4,0,normal,1467,0,1782358393.3504167
0,5,0,normal,1676,0,1782358393.3524055
0,6,0,normal,1808,0,1782358393.3544881
0,7,0,normal,601,0,1782358393.356486
0,8,0,normal,2502,0,1782358393.358436
0,9,0,normal,2757,0,1782358393.3604605
0,10,0,normal,1205,0,1782358393.3624587
0,11,0,normal,2731,0,1782358393.3644676
0,12,0,normal,308,0,1782358393.3664873
0,13,0,normal,769,0,1782358393.3684554
0,14,0,normal,2469,0,1782358393.3704326
0,15,0,normal,799,2,1782358393.3724608
0,16,0,normal,94,0,1782358393.3744614
0,17,0,normal,2871,0,1782358393.376433
0,18,0,normal,1204,0,1782358393.3784547
0,19,0,normal,1852,0,1782358393.3804717
0,20,0,normal,88,0,1782358393.3824353
0,21,0,normal,2569,0,1782358393.3844645
0,22,0,normal,469,0,1782358393.386456
0,23,0,normal,1298,0,1782358393.3884327
0,24,0,normal,624,0,1782358393.3904545
0,25,0,normal,3190,1,1782358393.392462
0,26,0,normal,203,0,1782358393.3944335
0,27,0,normal,1458,0,1782358393.3964753
0,28,0,normal,115,0,1782358393.3984559
0,29,0,normal,1916,0,1782358393.4004323
0,30,0,normal,887,2,1782358393.4024549
0,31,0,normal,3699,0,1782358393.4044614
0,32,0,normal,1333,1,1782358393.406432
0,33,0,normal,2625,0,1782358393.40848
0,34,0,normal,3617,0,1782358393.4104285
0,35,0,normal,646,0,1782358393.412409
0,36,0,normal,1362,1,1782358393.4144228
0,37,0,normal,1924,0,1782358393.4164379
0,38,0,normal,532,0,1782358393.418419
0,39,0,normal,369,0,1782358393.4204378
0,40,0,normal,3369,1,1782358393.4224198
0,41,0,normal,1723,0,1782358393.424419
0,42,0,normal,2239,0,1782358393.426421
0,43,0,normal,2884,0,1782358393.4284148
0,44,0,normal,1854,0,1782358393.4304187
0,45,0,normal,943,2,1782358393.4324412
0,46,0,normal,2890,0,1782358393.4344163
0,47,0,normal,281,0,1782358393.4364185
0,48,0,normal,3696,0,1782358393.4384184
0,49,0,normal,683,0,1782358393.4404151
0,50,0,normal,2014,0,1782358393.4424183
0,51,0,normal,1357,1,1782358393.4444315
0,52,0,normal,2264,0,1782358393.4464161
0,53,0,normal,2097,0,1782358393.4484158
0,54,0,normal,588,0,1782358393.450407
0,55,0,normal,2133,0,1782358393.4524121
0,56,0,normal,1063,0,1782358393.4544153
0,57,0,normal,952,2,1782358393.4564457
0,58,0,normal,3196,1,1782358393.4584188
0,59,0,normal,1958,0,1782358393.4604208
0,60,0,normal,2817,0,1782358393.462421
0,61,0,normal,2117,0,1782358393.464421
0,62,0,normal,568,0,1782358393.4664207
0,63,0,normal,148,0,1782358393.4684446
0,64,0,normal,2438,0,1782358393.4704173
0,65,0,normal,3055,1,1782358393.4724216
0,66,0,normal,1649,0,1782358393.4744217
0,67,0,normal,1027,2,1782358393.4764163
0,68,0,normal,919,2,1782358393.4784217
0,69,0,normal,934,2,1782358393.480438
0,70,0,normal,3267,1,1782358393.4824169
0,71,0,normal,2514,0,1782358393.4844222
0,72,0,normal,3430,0,1782358393.4864225
0,73,0,normal,3681,0,1782358393.4884176
0,74,0,normal,761,0,1782358393.4904218
0,75,0,normal,3399,1,1782358393.492439
0,76,0,normal,1095,0,1782358393.4944172
