round,seq_num,is_outage,folder,crop_index,label,send_timestamp
0,0,0,normal,1538,0,1782432406.8509665
0,1,0,normal,1091,0,1782432406.8988895
0,2,0,normal,504,2,1782432406.9498885
0,3,0,normal,49,1,1782432407.008472
0,4,0,normal,1655,0,1782432407.0597048
0,5,0,normal,577,2,1782432407.1044798
0,6,0,normal,1589,0,1782432407.1479552
0,7,0,normal,1027,0,1782432407.2055306
0,8,0,normal,782,0,1782432407.2494469
0,9,0,normal,1567,0,1782432407.2976148
0,10,0,normal,1337,0,1782432407.3463306
0,11,0,normal,216,1,1782432407.3895462
0,12,0,normal,757,0,1782432407.4344568
0,13,0,normal,839,0,1782432407.4853346
0,14,0,normal,916,0,1782432407.5334089
0,15,0,normal,1530,0,1782432407.5788097
0,16,0,normal,607,2,1782432407.6243055
0,17,0,normal,1360,0,1782432407.6663156
0,18,0,normal,1942,2,1782432407.727651
0,19,0,normal,409,2,1782432407.7703047
0,20,0,normal,1371,0,1782432407.8170977
0,21,0,normal,1586,0,1782432407.860928
0,22,0,normal,113,1,1782432407.925991
0,23,0,normal,1442,0,1782432407.9822657
0,24,0,normal,1452,0,1782432408.0257905
0,25,0,normal,1682,0,1782432408.073515
0,26,0,normal,1780,2,1782432408.1263173
0,27,0,normal,1612,0,1782432408.169412
0,28,0,normal,1003,0,1782432408.2157352
0,29,0,normal,1775,2,1782432408.261206
0,30,0,normal,136,1,1782432408.3302238
0,31,0,normal,1495,0,1782432408.3814316
0,32,0,normal,462,2,1782432408.4390671
0,33,0,normal,236,1,1782432408.485821
0,34,0,normal,22,1,1782432408.534017
0,35,0,normal,1229,0,1782432408.587474
0,36,0,normal,1215,0,1782432408.6350117
0,37,0,normal,1158,0,1782432408.6826692
0,38,0,normal,654,2,1782432408.7301893
0,39,0,normal,1830,2,1782432408.7749047
0,40,0,normal,34,1,1782432408.818923
0,41,0,normal,1938,2,1782432408.8656597
0,42,0,normal,148,1,1782432408.908128
0,43,0,normal,1421,0,1782432408.9577947
0,44,0,normal,1903,2,1782432409.0035937
0,45,0,normal,612,2,1782432409.0578752
0,46,0,normal,991,0,1782432409.098692
0,47,0,normal,89,1,1782432409.151283
0,48,0,normal,634,2,1782432409.2068624
0,49,0,normal,1203,0,1782432409.254102
0,50,0,normal,184,1,1782432409.313348
0,51,0,normal,285,0,1782432409.3622918
0,52,0,normal,1504,0,1782432409.4114726
0,53,0,normal,128,1,1782432409.469853
0,54,0,normal,691,2,1782432409.5218048
0,55,0,normal,633,2,1782432409.5916047
0,56,0,normal,1905,2,1782432409.636781
0,57,0,normal,1548,0,1782432409.6927938
0,58,0,normal,1483,0,1782432409.7452538
0,59,0,normal,1181,0,1782432409.7966762
0,60,0,normal,344,2,1782432409.8417268
0,61,0,normal,1676,0,1782432409.8920546
0,62,0,normal,264,1,1782432409.9463542
0,63,0,normal,925,0,1782432409.9939964
0,64,0,normal,923,0,1782432410.037337
0,65,0,normal,1469,0,1782432410.082423
0,66,0,normal,12,1,1782432410.1425683
0,67,0,normal,471,2,1782432410.1900828
0,68,0,normal,954,0,1782432410.237334
0,69,0,normal,13,1,1782432410.2831774
0,70,0,normal,247,1,1782432410.3318934
0,71,0,normal,790,0,1782432410.3798282
0,72,0,normal,686,2,1782432410.4307702
0,73,0,normal,1120,0,1782432410.482469
0,74,0,normal,987,0,1782432410.5264072
0,75,0,normal,3,1,1782432410.5701902
0,76,0,normal,945,0,1782432410.6123831
0,77,0,normal,1074,0,1782432410.6639776
0,78,0,normal,1468,0,1782432410.7095613
0,79,0,normal,1859,2,1782432410.7540424
0,80,0,normal,92,1,1782432410.7956896
0,81,0,normal,1993,2,1782432410.84103
0,82,0,normal,917,0,1782432410.8836908
0,83,0,normal,1996,2,1782432410.9269962
0,84,0,normal,1928,2,1782432410.9882798
0,85,0,normal,1284,0,1782432411.0338259
0,86,0,normal,74,1,1782432411.0864413
0,87,0,normal,613,2,1782432411.1310089
0,88,0,normal,1528,0,1782432411.176422
0,89,0,normal,1375,0,1782432411.2188363
0,90,0,normal,1053,0,1782432411.2684073
0,91,0,normal,477,2,1782432411.3218799
0,92,0,normal,1599,0,1782432411.3688571
0,93,0,normal,553,2,1782432411.419354
0,94,0,normal,941,0,1782432411.464851
0,95,0,normal,1837,2,1782432411.5149941
0,96,0,normal,366,2,1782432411.561806
0,97,0,normal,204,1,1782432411.6088495
0,98,0,normal,1444,0,1782432411.6541004
0,99,0,normal,1332,0,1782432411.7102072
0,100,0,normal,623,2,1782432411.764165
0,101,0,normal,906,0,1782432411.8144946
0,102,0,normal,630,2,1782432411.858412
0,103,0,normal,1108,0,1782432411.9110641
0,104,0,normal,696,2,1782432411.9637663
0,105,0,normal,1237,0,1782432412.0047054
0,106,0,normal,1251,0,1782432412.047149
0,107,0,normal,1150,0,1782432412.09134
0,108,0,normal,860,0,1782432412.1423838
0,109,0,normal,1549,0,1782432412.209315
0,110,0,normal,493,2,1782432412.2528749
0,111,0,normal,1055,0,1782432412.2970543
0,112,0,normal,1481,0,1782432412.3480005
0,113,0,normal,473,2,1782432412.3983
0,114,0,normal,1306,0,1782432412.4518588
0,115,0,normal,1508,0,1782432412.4940495
0,116,0,normal,213,1,1782432412.540305
0,117,0,normal,1858,2,1782432412.5830183
0,118,0,normal,1724,0,1782432412.6293437
0,119,0,normal,1241,0,1782432412.6882205
0,120,0,normal,23,1,1782432412.7372057
0,121,0,normal,1937,2,1782432412.7896452
0,122,0,normal,1406,0,1782432412.8359332
0,123,0,normal,1836,2,1782432412.8846502
0,124,0,normal,1386,0,1782432412.9443398
0,125,0,normal,702,2,1782432412.9891791
0,126,0,normal,1738,2,1782432413.0353265
0,127,0,normal,951,0,1782432413.0861397
0,128,0,normal,705,2,1782432413.128897
0,129,0,normal,1976,2,1782432413.171933
0,130,0,normal,1165,0,1782432413.2152176
0,131,0,normal,1162,0,1782432413.269266
0,132,0,normal,1155,0,1782432413.312929
0,133,0,normal,1011,0,1782432413.3552353
0,134,0,normal,1703,0,1782432413.403253
0,135,0,normal,1877,2,1782432413.4495103
0,136,0,normal,1593,0,1782432413.5010347
0,137,0,normal,45,1,1782432413.5447922
0,138,0,normal,693,2,1782432413.586781
0,139,0,normal,437,2,1782432413.6435
0,140,0,normal,760,0,1782432413.6968818
0,141,0,normal,1560,0,1782432413.7403214
0,142,0,normal,1665,0,1782432413.8050861
0,143,0,normal,19,1,1782432413.847422
0,144,0,normal,1880,2,1782432413.9011743
0,145,0,normal,1416,0,1782432413.9423478
0,146,0,normal,664,2,1782432413.9944913
0,147,0,normal,1267,0,1782432414.0475836
0,148,0,normal,43,1,1782432414.111691
0,149,0,normal,1396,0,1782432414.1562686
0,150,0,normal,979,0,1782432414.2004175
0,151,0,normal,1997,2,1782432414.2518783
0,152,0,normal,1390,0,1782432414.2972677
0,153,0,normal,1680,0,1782432414.368198
0,154,0,normal,1733,2,1782432414.4099853
0,155,0,normal,1969,2,1782432414.4590466
0,156,0,normal,1749,2,1782432414.5075262
0,157,0,normal,953,0,1782432414.5518205
0,158,0,normal,888,0,1782432414.5963707
0,159,0,normal,1743,2,1782432414.6473584
0,160,0,normal,1088,0,1782432414.7011635
0,161,0,normal,1831,2,1782432414.743977
0,162,0,normal,1347,0,1782432414.788507
0,163,0,normal,679,2,1782432414.8414018
0,164,0,normal,968,0,1782432414.8878958
0,165,0,normal,1218,0,1782432414.9346337
0,166,0,normal,1648,0,1782432414.9828372
0,167,0,normal,1927,2,1782432415.032476
0,168,0,normal,773,0,1782432415.0752718
0,169,0,normal,1854,2,1782432415.13614
0,170,0,normal,30,1,1782432415.1889749
0,171,0,normal,1790,2,1782432415.2365606
0,172,0,normal,1556,0,1782432415.2823389
0,173,0,normal,1863,2,1782432415.3280907
0,174,0,normal,314,0,1782432415.3694057
0,175,0,normal,846,0,1782432415.4181633
0,176,0,normal,855,0,1782432415.4630253
0,177,0,normal,205,1,1782432415.5083046
0,178,0,normal,1004,0,1782432415.559425
0,179,0,normal,658,2,1782432415.6086466
0,180,0,normal,1603,0,1782432415.6642075
0,181,0,normal,130,1,1782432415.7113674
0,182,0,normal,1361,0,1782432415.7571926
0,183,0,normal,1651,0,1782432415.8132741
0,184,0,normal,389,2,1782432415.855561
0,185,0,normal,249,1,1782432415.9153516
0,186,0,normal,1107,0,1782432415.9797184
0,187,0,normal,752,0,1782432416.0245905
0,188,0,normal,1951,2,1782432416.0673287
0,189,0,normal,818,0,1782432416.1121724
0,190,0,normal,289,0,1782432416.1575837
0,191,0,normal,786,0,1782432416.2034035
0,192,0,normal,438,2,1782432416.2465394
0,193,0,normal,959,0,1782432416.2901943
0,194,0,normal,1777,2,1782432416.3354225
0,195,0,normal,361,2,1782432416.3885877
0,196,0,normal,1255,0,1782432416.438964
0,197,0,normal,61,1,1782432416.489074
0,198,0,normal,65,1,1782432416.5353913
0,199,0,normal,573,2,1782432416.5763307
0,200,0,normal,661,2,1782432416.639514
0,201,0,normal,1018,0,1782432416.6852105
0,202,0,normal,1076,0,1782432416.7442453
0,203,0,normal,423,2,1782432416.8036406
0,204,0,normal,745,0,1782432416.8553562
0,205,0,normal,1645,0,1782432416.902501
0,206,0,normal,912,0,1782432416.9499464
0,207,0,normal,1034,0,1782432417.0044684
0,208,0,normal,1315,0,1782432417.0558891
0,209,0,normal,1668,0,1782432417.0970938
0,210,0,normal,1366,0,1782432417.142012
0,211,0,normal,1167,0,1782432417.202155
0,212,0,normal,1189,0,1782432417.2642398
0,213,0,normal,1174,0,1782432417.3087275
0,214,0,normal,1032,0,1782432417.3533247
0,215,0,normal,1065,0,1782432417.4030595
0,216,0,normal,669,2,1782432417.4490666
0,217,0,normal,353,2,1782432417.4984245
0,218,0,normal,241,1,1782432417.5462475
0,219,0,normal,1178,0,1782432417.6119711
0,220,0,normal,1345,0,1782432417.6628194
0,221,0,normal,1751,2,1782432417.7171934
0,222,0,normal,1850,2,1782432417.7649925
0,223,0,normal,1419,0,1782432417.8120496
0,224,0,normal,1156,0,1782432417.8570821
0,225,0,normal,723,2,1782432417.9095728
0,226,0,normal,1643,0,1782432417.9579916
0,227,0,normal,66,1,1782432418.0207975
0,228,0,normal,537,2,1782432418.067018
0,229,0,normal,832,0,1782432418.1150095
0,230,0,normal,1639,0,1782432418.170653
0,231,0,normal,1545,0,1782432418.214496
0,232,0,normal,984,0,1782432418.2590277
0,233,0,normal,1673,0,1782432418.3108616
0,234,0,normal,1513,0,1782432418.3566222
0,235,0,normal,1248,0,1782432418.4025183
0,236,0,normal,1594,0,1782432418.4518259
