round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,2,1782354097.9180648,1.5226365343174513,0.7678661743799845,196.4986928104575,206.3,9720,0
1,2,1782354146.3331995,1.9737515261068064,0.7290064295132955,196.0300653594771,206.3,9606,0
2,2,1782354192.711902,1.104226711845281,0.8611691196759542,195.88300653594771,207.5,9720,0
3,2,1782354237.8164485,0.6595766460888234,0.9378386735916138,196.2248366013072,204.5,9720,0
4,2,1782354280.1487906,0.5261141397698107,0.9373613198598226,195.9562091503268,206.0,9720,0
5,2,1782354319.9096305,0.3786630557448256,0.9654111266136169,196.58169934640523,205.7,9720,0
6,2,1782354359.3866136,0.3624382729404697,0.9624191919962565,196.159477124183,206.5,9720,0
7,2,1782354398.4351015,0.2509548468971808,0.9798041582107544,196.71241830065358,206.6,9720,0
8,2,1782354436.5107472,0.29497491043887336,0.9703813195228577,195.66928104575163,207.9,9720,0
9,2,1782354475.5514808,0.23009482678482493,0.9805193146069845,196.5058823529412,206.9,9720,0
10,2,1782354514.8249543,0.23092190844504018,0.9824806253115336,196.77124183006535,206.1,9621,0
11,2,1782354554.9837859,0.15183781132652133,0.983220120271047,195.91176470588235,205.7,9720,0
12,2,1782354595.040562,0.1311013917062048,0.9884529511133829,196.76601307189543,207.3,9720,0
13,2,1782354635.4399984,0.22219419021926382,0.9796241720517477,196.3908496732026,206.4,9720,0
14,2,1782354675.0087419,0.12337779056956517,0.9892057379086813,196.26013071895423,206.3,9720,0
15,2,1782354709.185897,0.1739875670401471,0.9845641454060873,197.66993464052288,206.7,9720,0
16,2,1782354754.3099084,0.10144936834580685,0.9901623328526815,197.59607843137255,206.3,9720,0
17,2,1782354801.3079846,0.10816930306136069,0.9908086458841959,195.90718954248365,207.6,9720,0
18,2,1782354840.1057773,0.11189833490774903,0.9896170099576315,196.1843137254902,203.9,9720,0
19,2,1782354884.5405772,0.14339849858835804,0.9860039750734965,196.246,205.2,9591,0
20,2,1782354929.4448502,0.2930348743775896,0.9682431817054749,196.27908496732027,203.6,9720,0
21,2,1782354974.8100085,0.1384966029422061,0.9848541617393494,196.26013071895423,205.9,9720,0
22,2,1782355020.800592,0.14824152254817924,0.9861449797948202,195.97777777777776,204.2,9720,0
23,2,1782355066.715815,0.11806446813844719,0.988950510819753,196.05424836601307,202.9,9720,0
24,2,1782355107.5111766,0.22040665325224765,0.9760079582532247,196.0562091503268,204.1,9720,0
25,2,1782355153.0220816,0.05911196314713486,0.994780957698822,195.43790849673204,204.3,9720,0
26,2,1782355198.8510404,0.05932495005817698,0.9951197306315104,195.76666666666665,205.2,9720,0
27,2,1782355243.6385636,0.07271271238962929,0.9939703543980917,196.2934640522876,202.7,9720,0
28,2,1782355288.3941298,0.09563054432335776,0.991810659567515,195.45133333333334,205.7,9597,0
29,2,1782355331.2382357,0.05479040360382094,0.9965702295303345,197.17124183006536,207.5,9720,0
30,2,1782355375.371036,0.09709080486294731,0.9917450149854025,195.63529411764705,207.2,9720,0
31,2,1782355414.8616354,0.21528069896906826,0.9794551730155945,195.30522875816993,207.8,9720,0
32,2,1782355450.3330963,0.038157555487166116,0.9970641334851583,195.44705882352943,207.0,9720,0
33,2,1782355486.9775076,0.08248536252001798,0.9937068819999695,195.33464052287582,204.5,9720,0
34,2,1782355523.1097462,0.033341365133524314,0.997134804725647,195.63660130718955,205.6,9720,0
35,2,1782355558.4989917,0.04423947715658156,0.9962865312894186,195.62810457516338,207.6,9720,0
36,2,1782355592.1990712,0.037678366806532866,0.9962112506230673,196.69150326797384,208.7,9720,0
37,2,1782355628.2479472,0.0701619008434457,0.9930605491002401,195.39281045751633,207.2,9720,0
38,2,1782355664.1544158,0.050148389090390995,0.9928067723910013,195.62733333333333,204.5,9597,0
39,2,1782355700.2411485,0.07056080474324641,0.993702252705892,195.88235294117646,205.7,9720,0
40,2,1782355736.3635275,0.10923006510618542,0.9904762705167135,195.6313725490196,203.8,9720,0
41,2,1782355770.5107207,0.026863945360727323,0.9979849060376486,196.47058823529412,207.6,9720,0
42,2,1782355809.9395561,0.04165716459103315,0.9965702295303345,195.7640522875817,203.6,9720,0
43,2,1782355855.5857325,0.05145435039292922,0.9965546131134033,195.4941176470588,205.1,9720,0
44,2,1782355900.3911905,0.034310599144316486,0.99815567334493,195.58562091503268,204.4,9720,0
45,2,1782355945.6529646,0.033434816829198744,0.9964747428894043,196.23790849673205,203.0,9720,0
46,2,1782355984.9068506,0.021402283018861615,0.9976617693901062,197.80522875816993,207.8,9720,0
47,2,1782356031.0363436,0.12297263077815325,0.9893645445505778,196.95816993464052,206.5,9720,0
48,2,1782356081.4165378,0.024030068820798525,0.9984191457430521,195.33660130718954,204.7,9720,0
49,2,1782356125.4241521,0.06774207105188586,0.9929053982098898,195.41503267973857,207.6,9720,0
50,2,1782356172.3799074,0.025331120594024006,0.9986449877421061,195.281045751634,203.3,9720,0
51,2,1782356218.1000795,0.04092854611757074,0.9967602491378784,195.25098039215686,203.9,9720,0
52,2,1782356262.7347062,0.08485677235665778,0.9943421284357706,195.55359477124185,205.9,9720,0
53,2,1782356305.8319294,0.11534665916081518,0.9932129383087158,196.56928104575164,208.0,9720,0
54,2,1782356351.8957033,0.01935796385569298,0.99887082974116,196.4941176470588,207.9,9720,0
55,2,1782356360.9307935,0.006217451831616927,1.0,182.11666666666667,203.0,744,1
56,2,1782356400.592052,0.011130673656225554,0.9986559152603149,183.60833333333335,204.9,744,1
57,2,1782356439.0015638,0.0018610910392453661,1.0,182.65833333333333,206.6,744,1
