seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
57,normal,2246,0,1782358393.456267,0.002257823944091797
58,normal,1502,0,1782358393.4579747,0.0017075538635253906
59,normal,2638,0,1782358393.4603372,0.002362489700317383
60,normal,1734,0,1782358393.4620001,0.0016629695892333984
61,normal,3123,0,1782358393.4640913,0.0020911693572998047
62,normal,633,0,1782358393.4660118,0.001920461654663086
63,normal,951,1,1782358393.4682739,0.002262115478515625
64,normal,2396,0,1782358393.4699774,0.001703500747680664
65,normal,921,0,1782358393.4723465,0.0023691654205322266
66,normal,661,0,1782358393.474036,0.0016894340515136719
67,normal,268,0,1782358393.4760883,0.00205230712890625
68,normal,592,0,1782358393.4780211,0.0019328594207763672
69,normal,1118,1,1782358393.4802742,0.0022530555725097656
70,normal,946,1,1782358393.48197,0.001695871353149414
71,normal,2633,0,1782358393.4843469,0.0023767948150634766
72,normal,2538,0,1782358393.4860249,0.0016779899597167969
73,normal,569,0,1782358393.4880872,0.0020623207092285156
74,normal,1855,0,1782358393.4900239,0.0019366741180419922
75,normal,1615,0,1782358393.492276,0.0022521018981933594
76,normal,1448,0,1782358393.493968,0.001692056655883789
77,normal,451,0,1782358393.4963639,0.0023958683013916016
78,normal,827,0,1782358393.4980485,0.0016846656799316406
79,normal,383,0,1782358393.5000916,0.002043008804321289
80,normal,243,0,1782358393.5020287,0.0019371509552001953
81,normal,2858,0,1782358393.5042772,0.002248525619506836
82,normal,2213,0,1782358393.5059724,0.0016951560974121094
83,normal,755,0,1782358393.5083547,0.0023822784423828125
84,normal,2959,0,1782358393.510044,0.0016894340515136719
85,normal,2132,0,1782358393.5120976,0.002053499221801758
86,normal,1861,0,1782358393.5140347,0.0019371509552001953
87,normal,3161,0,1782358393.5162783,0.002243518829345703
88,normal,774,0,1782358393.5180097,0.0017313957214355469
89,normal,1417,0,1782358393.5201685,0.0021588802337646484
90,normal,999,1,1782358393.5222104,0.0020418167114257812
91,normal,2541,0,1782358393.5240932,0.001882791519165039
92,normal,2776,0,1782358393.526098,0.002004861831665039
93,normal,825,0,1782358393.528276,0.0021779537200927734
94,normal,1813,0,1782358393.5299673,0.0016913414001464844
95,normal,886,0,1782358393.5323439,0.002376556396484375
96,normal,1980,0,1782358393.5340323,0.0016884803771972656
97,normal,87,0,1782358393.5361,0.00206756591796875
98,normal,976,1,1782358393.5380483,0.0019483566284179688
99,normal,2075,0,1782358393.5403059,0.0022575855255126953
100,normal,109,0,1782358393.5419705,0.0016646385192871094
101,normal,1741,0,1782358393.5443711,0.002400636672973633
102,normal,3112,0,1782358393.5460324,0.0016613006591796875
103,normal,600,0,1782358393.5480833,0.0020508766174316406
104,normal,429,0,1782358393.5501487,0.002065420150756836
105,normal,1378,0,1782358393.55228,0.002131223678588867
106,normal,743,0,1782358393.553967,0.0016870498657226562
107,normal,1033,1,1782358393.5563416,0.0023746490478515625
108,normal,863,0,1782358393.5580053,0.0016636848449707031
109,normal,2466,0,1782358393.5600836,0.0020782947540283203
110,normal,2873,0,1782358393.5620553,0.001971721649169922
111,normal,2212,0,1782358393.5642672,0.0022118091583251953
112,normal,1365,0,1782358393.5659804,0.0017132759094238281
113,normal,2964,0,1782358393.5683548,0.002374410629272461
114,normal,880,0,1782358393.5700288,0.0016739368438720703
115,normal,585,0,1782358393.5720835,0.0020546913146972656
116,normal,2902,0,1782358393.5740595,0.00197601318359375
117,normal,1444,0,1782358393.576257,0.0021975040435791016
118,normal,1258,3,1782358393.5779667,0.0017096996307373047
119,normal,2218,0,1782358393.580266,0.0022993087768554688
120,normal,2135,0,1782358393.5820189,0.0017528533935546875
121,normal,1067,1,1782358393.5840874,0.0020685195922851562
122,normal,918,0,1782358393.5859756,0.001888275146484375
123,normal,1463,0,1782358393.5882618,0.002286195755004883
124,normal,1568,0,1782358393.5899563,0.0016944408416748047
125,normal,1467,0,1782358393.5922718,0.002315521240234375
126,normal,245,0,1782358393.594023,0.0017511844635009766
127,normal,1419,0,1782358393.5960872,0.002064228057861328
128,normal,559,0,1782358393.5979683,0.0018811225891113281
129,normal,1187,0,1782358393.6002622,0.002293825149536133
130,normal,2209,0,1782358393.601968,0.0017058849334716797
131,normal,335,0,1782358393.6047337,0.002765655517578125
132,normal,404,0,1782358393.6059828,0.001249074935913086
133,normal,2508,0,1782358393.6081855,0.002202749252319336
134,normal,684,0,1782358393.6099482,0.0017626285552978516
135,normal,1420,0,1782358393.6122422,0.0022940635681152344
136,normal,128,0,1782358393.613958,0.0017156600952148438
137,normal,3084,0,1782358393.6162825,0.0023245811462402344
138,normal,2885,0,1782358393.6180484,0.0017659664154052734
139,normal,2447,0,1782358393.620085,0.002036571502685547
140,normal,2013,0,1782358393.6220036,0.0019185543060302734
141,normal,1774,0,1782358393.6242604,0.0022568702697753906
142,normal,1443,0,1782358393.6259708,0.0017104148864746094
143,normal,1455,0,1782358393.6282864,0.002315521240234375
144,normal,2175,0,1782358393.6300142,0.0017278194427490234
145,normal,1553,0,1782358393.6320825,0.0020682811737060547
146,normal,710,0,1782358393.6339965,0.0019140243530273438
147,normal,959,1,1782358393.6362693,0.0022728443145751953
148,normal,2112,0,1782358393.6379633,0.0016939640045166016
149,normal,2569,0,1782358393.6402917,0.0023283958435058594
150,normal,963,1,1782358393.642011,0.0017192363739013672
151,normal,1374,0,1782358393.6440873,0.002076387405395508
152,normal,1112,1,1782358393.64599,0.0019025802612304688
153,normal,1276,3,1782358393.6482604,0.0022704601287841797
154,normal,3204,0,1782358393.649969,0.0017087459564208984
155,normal,2679,0,1782358393.6522636,0.0022945404052734375
156,normal,2415,0,1782358393.6540205,0.001756906509399414
157,normal,408,0,1782358393.6560833,0.0020627975463867188
158,normal,2866,0,1782358393.6580076,0.001924276351928711
159,normal,1747,0,1782358393.660314,0.0023064613342285156
160,normal,1003,1,1782358393.6619675,0.001653432846069336
161,normal,2329,0,1782358393.6643012,0.0023336410522460938
162,normal,347,0,1782358393.6660085,0.001707315444946289
163,normal,1679,0,1782358393.6680822,0.0020737648010253906
164,normal,3075,0,1782358393.669967,0.0018846988677978516
165,normal,2978,0,1782358393.6722777,0.0023107528686523438
166,normal,1197,0,1782358393.673957,0.0016794204711914062
167,normal,203,0,1782358393.6763213,0.0023641586303710938
168,normal,1257,3,1782358393.6780171,0.001695871353149414
169,normal,581,0,1782358393.6800854,0.0020682811737060547
170,normal,2443,0,1782358393.6820107,0.0019252300262451172
171,normal,1066,1,1782358393.6842625,0.002251863479614258
172,normal,2029,0,1782358393.6859615,0.0016989707946777344
173,normal,1800,0,1782358393.6883185,0.002357006072998047
174,normal,561,0,1782358393.6900094,0.0016908645629882812
175,normal,1779,0,1782358393.6920893,0.0020799636840820312
176,normal,155,0,1782358393.6940124,0.0019230842590332031
177,normal,2289,0,1782358393.6962793,0.0022668838500976562
178,normal,1476,0,1782358393.6979551,0.0016758441925048828
179,normal,2940,0,1782358393.700313,0.002357959747314453
180,normal,2673,0,1782358393.7020073,0.0016942024230957031
181,normal,2164,0,1782358393.7041185,0.002111196517944336
182,normal,1749,0,1782358393.7062495,0.0021309852600097656
183,normal,2475,0,1782358393.7081046,0.0018551349639892578
184,normal,1496,0,1782358393.710081,0.001976490020751953
185,normal,3170,0,1782358393.7119935,0.0019123554229736328
186,normal,1368,0,1782358393.714271,0.0022776126861572266
187,normal,1508,0,1782358393.7160165,0.001745462417602539
188,normal,1501,0,1782358393.718175,0.0021584033966064453
189,normal,1095,1,1782358393.7201543,0.001979351043701172
190,normal,1386,0,1782358393.7221098,0.0019555091857910156
191,normal,34,0,1782358393.724058,0.0019481182098388672
192,normal,673,0,1782358393.7262688,0.002210855484008789
193,normal,28,0,1782358393.7279932,0.0017244815826416016
194,normal,146,0,1782358393.7301693,0.002176046371459961
195,normal,2653,0,1782358393.732155,0.001985788345336914
196,normal,2647,0,1782358393.7341151,0.0019600391387939453
197,normal,2486,0,1782358393.7359908,0.0018756389617919922
198,normal,407,0,1782358393.7382753,0.002284526824951172
199,normal,1707,0,1782358393.7399864,0.001711130142211914
200,normal,498,0,1782358393.742119,0.0021326541900634766
201,normal,2990,0,1782358393.7441623,0.0020432472229003906
202,normal,1824,0,1782358393.7461147,0.0019524097442626953
203,normal,1342,0,1782358393.7479992,0.00188446044921875
204,normal,3191,0,1782358393.750268,0.0022687911987304688
205,normal,1021,1,1782358393.7519922,0.0017242431640625
