seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
0,normal,175,1,1782358393.3420737,0.0
1,normal,1589,0,1782358393.3438282,0.0017545223236083984
2,normal,291,0,1782358393.3457198,0.0018916130065917969
3,normal,779,0,1782358393.3477564,0.002036571502685547
4,normal,1405,0,1782358393.349683,0.0019266605377197266
5,normal,1556,0,1782358393.351732,0.002048969268798828
6,normal,641,2,1782358393.3537123,0.001980304718017578
7,normal,605,2,1782358393.3557925,0.002080202102661133
8,normal,1041,0,1782358393.3577898,0.001997232437133789
9,normal,664,2,1782358393.359741,0.0019512176513671875
10,normal,1830,2,1782358393.3618386,0.002097606658935547
11,normal,1934,2,1782358393.363844,0.002005338668823242
12,normal,1214,0,1782358393.3657935,0.0019495487213134766
13,normal,1191,0,1782358393.3676777,0.0018842220306396484
14,normal,863,0,1782358393.3697348,0.0020570755004882812
15,normal,1006,0,1782358393.371804,0.002069234848022461
16,normal,147,1,1782358393.3737006,0.0018966197967529297
17,normal,140,1,1782358393.3757348,0.0020341873168945312
18,normal,1502,0,1782358393.3777306,0.0019958019256591797
19,normal,280,1,1782358393.3798597,0.002129077911376953
20,normal,645,2,1782358393.3817642,0.0019044876098632812
21,normal,1843,2,1782358393.383748,0.0019838809967041016
22,normal,1721,0,1782358393.3857775,0.0020294189453125
23,normal,1827,2,1782358393.3877397,0.0019621849060058594
24,normal,1421,0,1782358393.3897984,0.002058744430541992
25,normal,1803,2,1782358393.3917737,0.0019752979278564453
26,normal,397,2,1782358393.3937433,0.001969575881958008
27,normal,969,0,1782358393.395808,0.0020647048950195312
28,normal,21,1,1782358393.3977787,0.0019707679748535156
29,normal,1087,0,1782358393.3997726,0.001993894577026367
30,normal,1726,0,1782358393.401771,0.001998424530029297
31,normal,40,1,1782358393.4037695,0.001998424530029297
32,normal,1375,0,1782358393.4057753,0.0020058155059814453
33,normal,654,2,1782358393.4077857,0.002010345458984375
34,normal,1884,2,1782358393.4100323,0.0022466182708740234
35,normal,262,1,1782358393.411811,0.0017788410186767578
36,normal,255,1,1782358393.4140096,0.002198457717895508
37,normal,1230,0,1782358393.4158113,0.0018017292022705078
38,normal,838,0,1782358393.418007,0.002195596694946289
39,normal,1631,0,1782358393.4198415,0.0018346309661865234
40,normal,153,1,1782358393.42181,0.0019683837890625
41,normal,1614,0,1782358393.4239845,0.0021746158599853516
42,normal,955,0,1782358393.4260476,0.0020630359649658203
43,normal,1370,0,1782358393.4278102,0.0017626285552978516
44,normal,1980,2,1782358393.4300237,0.0022134780883789062
45,normal,860,0,1782358393.4318328,0.0018091201782226562
46,normal,616,2,1782358393.433817,0.001984119415283203
47,normal,885,0,1782358393.4360096,0.0021927356719970703
48,normal,609,2,1782358393.4378595,0.0018498897552490234
49,normal,123,1,1782358393.4398105,0.001950979232788086
50,normal,1621,0,1782358393.4420135,0.0022029876708984375
51,normal,1033,0,1782358393.4438822,0.0018687248229980469
52,normal,55,1,1782358393.4458454,0.0019631385803222656
53,normal,1919,2,1782358393.4479988,0.0021533966064453125
54,normal,388,2,1782358393.4498532,0.0018544197082519531
55,normal,800,0,1782358393.4517968,0.0019435882568359375
56,normal,46,1,1782358393.4540257,0.002228975296020508
57,normal,1832,2,1782358393.4558473,0.0018215179443359375
58,normal,949,0,1782358393.4578145,0.001967191696166992
59,normal,217,1,1782358393.4600062,0.002191781997680664
60,normal,1474,0,1782358393.4620805,0.0020742416381835938
61,normal,1193,0,1782358393.4638095,0.0017290115356445312
62,normal,1668,0,1782358393.4660194,0.002209901809692383
63,normal,1438,0,1782358393.4678242,0.0018048286437988281
64,normal,447,2,1782358393.4698117,0.001987457275390625
65,normal,1038,0,1782358393.472027,0.0022153854370117188
66,normal,1574,0,1782358393.4738152,0.0017881393432617188
67,normal,1705,0,1782358393.475805,0.0019898414611816406
68,normal,449,2,1782358393.4780238,0.0022187232971191406
69,normal,1947,2,1782358393.4798148,0.0017910003662109375
70,normal,292,0,1782358393.4818056,0.001990795135498047
