seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
0,normal,967,0,1782427738.2305655,0.0
1,normal,989,0,1782427738.268764,0.03819847106933594
2,normal,161,1,1782427738.3289933,0.06022930145263672
3,normal,414,2,1782427738.3826816,0.05368828773498535
4,normal,906,0,1782427738.4330654,0.050383806228637695
5,normal,1054,0,1782427738.4792325,0.04616713523864746
6,normal,513,2,1782427738.523683,0.04445052146911621
7,normal,110,1,1782427738.5876913,0.06400823593139648
8,normal,1304,0,1782427738.6334093,0.04571795463562012
9,normal,477,2,1782427738.6750605,0.041651248931884766
10,normal,460,2,1782427738.729479,0.05441856384277344
11,normal,1283,0,1782427738.7784941,0.049015045166015625
12,normal,787,0,1782427738.838606,0.06011199951171875
13,normal,1531,0,1782427738.8811195,0.042513370513916016
14,normal,702,2,1782427738.9366314,0.0555119514465332
15,normal,1436,0,1782427738.9831557,0.0465242862701416
16,normal,1447,0,1782427739.0284877,0.04533195495605469
17,normal,1206,0,1782427739.0805097,0.05202198028564453
18,normal,134,1,1782427739.128045,0.04753541946411133
19,normal,1037,0,1782427739.1689143,0.04086923599243164
20,normal,1220,0,1782427739.212939,0.04402470588684082
21,normal,670,2,1782427739.2591827,0.04624366760253906
22,normal,349,2,1782427739.3018901,0.04270744323730469
23,normal,425,2,1782427739.347477,0.04558682441711426
24,normal,864,0,1782427739.400639,0.0531620979309082
25,normal,1056,0,1782427739.4559238,0.055284738540649414
26,normal,1196,0,1782427739.5033882,0.04746437072753906
27,normal,772,0,1782427739.5523238,0.048935651779174805
28,normal,1456,0,1782427739.5975616,0.04523777961730957
29,normal,324,0,1782427739.646117,0.04855537414550781
30,normal,196,1,1782427739.7066233,0.060506343841552734
31,normal,482,2,1782427739.7612727,0.05464935302734375
32,normal,1119,0,1782427739.8059378,0.04466509819030762
33,normal,1328,0,1782427739.8468502,0.04091238975524902
34,normal,953,0,1782427739.890003,0.043152809143066406
35,normal,255,1,1782427739.9425852,0.0525822639465332
