seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
0,normal,740,0,1782427738.230563,0.0
1,normal,2892,0,1782427738.268765,0.03820204734802246
2,normal,875,2,1782427738.3156126,0.04684758186340332
3,normal,90,0,1782427738.3669174,0.05130481719970703
4,normal,3702,0,1782427738.4143841,0.04746675491333008
5,normal,807,2,1782427738.466343,0.05195879936218262
6,normal,1792,0,1782427738.5164218,0.0500788688659668
7,normal,3574,0,1782427738.562266,0.045844316482543945
8,normal,3406,0,1782427738.6080399,0.04577374458312988
9,normal,638,0,1782427738.6505446,0.04250478744506836
10,normal,3155,1,1782427738.7056608,0.05511617660522461
11,normal,993,2,1782427738.7505732,0.04491233825683594
12,normal,471,0,1782427738.7936442,0.04307103157043457
13,normal,1466,0,1782427738.8386574,0.0450131893157959
14,normal,2547,0,1782427738.890901,0.052243709564208984
15,normal,1869,0,1782427738.9455283,0.054627180099487305
16,normal,2958,0,1782427738.992372,0.046843767166137695
17,normal,2595,0,1782427739.034072,0.041699886322021484
18,normal,236,0,1782427739.0815895,0.04751753807067871
19,normal,773,2,1782427739.1297338,0.04814434051513672
20,normal,2007,0,1782427739.1769056,0.047171831130981445
21,normal,3453,0,1782427739.2296884,0.05278277397155762
22,normal,1144,0,1782427739.2816114,0.05192303657531738
23,normal,1675,0,1782427739.3301072,0.04849576950073242
24,normal,1184,0,1782427739.3815699,0.051462650299072266
25,normal,2840,0,1782427739.42599,0.04442024230957031
26,normal,709,0,1782427739.4824364,0.05644631385803223
27,normal,2372,0,1782427739.5430484,0.06061196327209473
28,normal,1593,0,1782427739.59841,0.05536150932312012
29,normal,2655,0,1782427739.6463966,0.047986745834350586
30,normal,1720,0,1782427739.692224,0.045827388763427734
31,normal,1556,0,1782427739.7583234,0.06609940528869629
32,normal,3127,1,1782427739.8082082,0.049884796142578125
33,normal,1512,0,1782427739.8497214,0.04151320457458496
34,normal,441,0,1782427739.8996105,0.04988908767700195
35,normal,1663,0,1782427739.9506328,0.05102229118347168
36,normal,3055,1,1782427739.9925144,0.041881561279296875
37,normal,2140,0,1782427740.0400245,0.04751014709472656
38,normal,1637,0,1782427740.0913086,0.051284074783325195
39,normal,3196,1,1782427740.1509566,0.05964803695678711
40,normal,924,2,1782427740.2108285,0.05987191200256348
41,normal,2863,0,1782427740.2556667,0.04483819007873535
42,normal,2435,0,1782427740.2992876,0.04362082481384277
43,normal,279,0,1782427740.3530676,0.05378007888793945
44,normal,1224,0,1782427740.3943229,0.04125523567199707
45,normal,3228,1,1782427740.446916,0.052593231201171875
46,normal,1918,0,1782427740.4963799,0.049463748931884766
47,normal,1322,1,1782427740.5464747,0.0500948429107666
48,normal,2656,0,1782427740.5887244,0.04224967956542969
49,normal,3381,1,1782427740.6417994,0.05307507514953613
50,normal,1599,0,1782427740.684697,0.04289746284484863
51,normal,1888,0,1782427740.731538,0.04684114456176758
52,normal,2858,0,1782427740.7954495,0.06391143798828125
53,normal,2788,0,1782427740.840368,0.04491853713989258
54,normal,410,0,1782427740.898679,0.05831098556518555
55,normal,2068,0,1782427740.9424455,0.04376649856567383
56,normal,1697,0,1782427740.995005,0.05255937576293945
57,normal,2772,0,1782427741.043543,0.0485382080078125
58,normal,1544,0,1782427741.0844674,0.0409243106842041
59,normal,2047,0,1782427741.1256044,0.041136980056762695
60,normal,1504,0,1782427741.1679437,0.042339324951171875
