scenario,round,edge_id,samples_received,samples_trained,live_samples,fallback_samples,train_loss_avg,compute_time,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_sensors,sensor_count,replay_buffer_size
baseline_live,1,edge0,112,112,112,0,2.489262640476227,0.541135311126709,0.08784142249662961,0.17780706891790032,7,7,112
baseline_live,1,edge1,112,112,112,0,2.8275895714759827,0.6121492385864258,0.08349247902099576,0.23855669633485377,7,7,112
baseline_live,1,edge2,112,112,112,0,1.6689397692680359,0.48154282569885254,0.11398392543196678,0.17812373023480177,7,7,112
baseline_live,2,edge0,112,224,112,0,4.608842313289642,0.38188862800598145,0.06324236543982156,0.15346503094770014,7,7,224
baseline_live,2,edge1,112,224,112,0,4.247801244258881,0.4238555431365967,0.09296461104947541,0.2350778947584331,7,7,224
baseline_live,2,edge2,112,224,112,0,3.918980121612549,0.29585886001586914,0.09061685191201312,0.17856597481295466,7,7,224
baseline_live,3,edge0,112,256,112,0,3.8103107810020447,0.3753376007080078,0.059605064269687445,0.11839064978994429,7,7,336
baseline_live,3,edge1,112,256,112,0,2.043196365237236,0.3799169063568115,0.06206674887133496,0.13631450477987528,7,7,336
baseline_live,3,edge2,112,256,112,0,2.5304960906505585,0.35828423500061035,0.12805516276109433,0.2041922661010176,7,7,336
baseline_live,4,edge0,112,256,112,0,2.855690658092499,0.3350982666015625,0.06237030167332185,0.17809122917242348,7,7,448
baseline_live,4,edge1,112,256,112,0,1.2219104170799255,0.337078332901001,0.11072949905480657,0.18008328694850206,7,7,448
baseline_live,4,edge2,112,256,112,0,1.5042016059160233,0.2752690315246582,0.13326767916857665,0.1989333680830896,7,7,448
baseline_live,5,edge0,112,256,112,0,1.8334494233131409,0.35489654541015625,0.0612852673179337,0.11926807998679578,7,7,560
baseline_live,5,edge1,112,256,112,0,1.0473056137561798,0.30732274055480957,0.1612770683132112,0.3097706539556384,7,7,560
baseline_live,5,edge2,112,256,112,0,1.4953285157680511,0.4058542251586914,0.09927236022693771,0.1788576883263886,7,7,560
baseline_live,6,edge0,112,256,112,0,3.2101421877741814,0.3097817897796631,0.13038722442329995,0.20479783811606467,7,7,672
baseline_live,6,edge1,112,256,112,0,1.3418759107589722,0.30348730087280273,0.08605466074576336,0.24098421493545175,7,7,672
baseline_live,6,edge2,112,256,112,0,1.1298308223485947,0.3373103141784668,0.1082333459718419,0.17790856934152544,7,7,672
baseline_live,7,edge0,112,256,112,0,1.311129368841648,0.32442474365234375,0.11058889570579465,0.17760529019869864,7,7,784
baseline_live,7,edge1,112,256,112,0,1.3577605932950974,0.34159326553344727,0.11833170751508858,0.22568251239135861,7,7,784
baseline_live,7,edge2,112,256,112,0,0.818269707262516,0.374866247177124,0.11033202797573592,0.17428016243502498,7,7,784
baseline_live,8,edge0,112,256,112,0,2.1667961180210114,0.3359658718109131,0.12600597057358495,0.1781368216034025,7,7,896
baseline_live,8,edge1,112,256,112,0,1.222682073712349,0.2913494110107422,0.10499595691050802,0.25993858580477536,7,7,896
baseline_live,8,edge2,112,256,112,0,1.04803828895092,0.37458109855651855,0.13058856771593647,0.34288694290444255,7,7,896
baseline_live,9,edge0,112,256,112,0,1.8903118520975113,0.3010115623474121,0.09070980869832315,0.1608617608435452,7,7,1008
baseline_live,9,edge1,112,256,112,0,1.227021984755993,0.27846550941467285,0.08763530803844333,0.17753953719511628,7,7,1008
baseline_live,9,edge2,112,256,112,0,0.6824963465332985,0.2993311882019043,0.09323878922233624,0.23815400409512222,7,7,1008
baseline_live,10,edge0,112,256,112,0,0.6837484911084175,0.31670546531677246,0.10556402163846153,0.346165286609903,7,7,1120
baseline_live,10,edge1,112,256,112,0,1.7457368224859238,0.3506913185119629,0.08396310266107321,0.17664478393271565,7,7,1120
baseline_live,10,edge2,112,256,112,0,0.5518096461892128,0.2826211452484131,0.06640759369890605,0.10796201508492231,7,7,1120
baseline_live,11,edge0,112,256,112,0,1.4292043298482895,0.29992175102233887,0.1070067931432277,0.2368903944734484,7,7,1232
baseline_live,11,edge1,112,256,112,0,0.9968264922499657,0.3198227882385254,0.10043575032614172,0.2392810198944062,7,7,1232
baseline_live,11,edge2,112,256,112,0,1.0365049615502357,0.3153557777404785,0.09990621963515878,0.15785873658023775,7,7,1232
baseline_live,12,edge0,112,256,112,0,2.9886253774166107,0.28777360916137695,0.13722296724362032,0.2728113189805299,7,7,1344
baseline_live,12,edge1,112,256,112,0,1.3859997689723969,0.28388214111328125,0.07990144073430981,0.23530813329853117,7,7,1344
baseline_live,12,edge2,112,256,112,0,1.2536982670426369,0.27718353271484375,0.09734200892437782,0.2046888668555766,7,7,1344
baseline_live,13,edge0,112,256,112,0,1.1914955377578735,0.2686593532562256,0.09767297811673156,0.17942382907494903,7,7,1456
baseline_live,13,edge1,112,256,112,0,1.4689711406826973,0.290539026260376,0.06834969909063407,0.2379391707945615,7,7,1456
baseline_live,13,edge2,112,256,112,0,1.8683883994817734,0.3005218505859375,0.10291459364816546,0.19313910254277286,7,7,1456
baseline_live,14,edge0,112,256,112,0,0.7975247204303741,0.33405232429504395,0.10200021242988962,0.23833127273246646,7,7,1568
baseline_live,14,edge1,112,256,112,0,0.46969807147979736,0.3906290531158447,0.055722993931600025,0.11811138829216361,7,7,1568
baseline_live,14,edge2,112,256,112,0,1.553390309214592,0.377246618270874,0.14388851053081453,0.23891503922641277,7,7,1568
baseline_live,15,edge0,112,256,112,0,2.4027044475078583,0.3708209991455078,0.09997674154250749,0.18001755559816957,7,7,1680
baseline_live,15,edge1,112,256,112,0,1.3504683747887611,0.4157726764678955,0.10359315574169159,0.2391057552304119,7,7,1680
baseline_live,15,edge2,112,256,112,0,2.3294041603803635,0.39222049713134766,0.1499311980857913,0.29369913460686803,7,7,1680
baseline_live,16,edge0,112,256,112,0,2.59218929708004,0.40070557594299316,0.13864200866581605,0.35689417482353747,7,7,1792
baseline_live,16,edge1,112,256,112,0,0.9486853256821632,0.5240838527679443,0.041290104522236755,0.09680173778906465,7,7,1792
baseline_live,16,edge2,112,256,112,0,0.4736665263772011,0.3785381317138672,0.11702072763416384,0.23751386534422636,7,7,1792
baseline_live,17,edge0,112,256,112,0,2.244157150387764,0.3490011692047119,0.07719104836827942,0.17921418673358858,7,7,1904
baseline_live,17,edge1,112,256,112,0,0.5770492292940617,0.37900662422180176,0.08447595090339226,0.2968719827476889,7,7,1904
baseline_live,17,edge2,112,256,112,0,1.462831899523735,0.41536903381347656,0.15256511749300575,0.26954559865407646,7,7,1904
baseline_live,18,edge0,112,256,112,0,1.6945621594786644,0.35521674156188965,0.12106258285764072,0.1929293901193887,7,7,2016
baseline_live,18,edge1,112,256,112,0,1.2798244953155518,0.4075477123260498,0.16935914362381613,0.23627658328041434,7,7,2016
