scenario,round,edge_id,sensor_id,outage_active,live_samples,fallback_samples,samples_received,queue_fill_seconds,queue_fill_complete
outage_replay_wgan,4,edge0,intersection_03,False,16,0,16,0.0009433886734768747,True
outage_replay_wgan,4,edge0,intersection_04,False,16,0,16,0.05973628163337708,True
outage_replay_wgan,4,edge0,intersection_05,False,16,0,16,0.002273682970553636,True
outage_replay_wgan,4,edge0,intersection_06,False,16,0,16,0.05966397328302265,True
outage_replay_wgan,4,edge1,intersection_07,False,16,0,16,0.06277301115915179,True
outage_replay_wgan,4,edge1,intersection_08,False,16,0,16,0.060002276673912995,True
outage_replay_wgan,4,edge1,intersection_09,False,16,0,16,0.060091436142101884,True
outage_replay_wgan,4,edge1,intersection_10,False,16,0,16,0.17301937798038125,True
outage_replay_wgan,4,edge1,intersection_11,False,16,0,16,0.11973349959589541,True
outage_replay_wgan,4,edge1,intersection_12,False,16,0,16,0.18008328694850206,True
outage_replay_wgan,4,edge1,intersection_13,False,16,0,16,0.11940360488370061,True
outage_replay_wgan,4,edge2,intersection_14,False,16,0,16,0.1676006990019232,True
outage_replay_wgan,4,edge2,intersection_15,False,16,0,16,0.19473312818445265,True
outage_replay_wgan,4,edge2,intersection_16,False,16,0,16,0.07414999906904995,True
outage_replay_wgan,4,edge2,intersection_17,False,16,0,16,0.1989333680830896,True
outage_replay_wgan,4,edge2,intersection_18,False,16,0,16,0.001206252840347588,True
outage_replay_wgan,4,edge2,intersection_19,False,16,0,16,0.17606598930433393,True
outage_replay_wgan,4,edge2,intersection_20,False,16,0,16,0.12018431769683956,True
outage_replay_wgan,5,edge0,intersection_00,False,16,0,16,0.015147746074944733,True
outage_replay_wgan,5,edge0,intersection_01,False,16,0,16,0.11729844869114459,True
outage_replay_wgan,5,edge0,intersection_02,False,16,0,16,0.11926807998679578,True
outage_replay_wgan,5,edge0,intersection_03,False,16,0,16,0.05876746983267367,True
outage_replay_wgan,5,edge0,intersection_04,False,16,0,16,0.059446237981319434,True
outage_replay_wgan,5,edge0,intersection_05,False,16,0,16,0.00018302816897630692,True
outage_replay_wgan,5,edge0,intersection_06,False,16,0,16,0.058885860489681356,True
outage_replay_wgan,5,edge1,intersection_07,False,16,0,16,0.3097706539556384,True
outage_replay_wgan,5,edge1,intersection_08,False,16,0,16,0.06025243597105145,True
outage_replay_wgan,5,edge1,intersection_09,False,16,0,16,0.07017664960585535,True
outage_replay_wgan,5,edge1,intersection_10,False,16,0,16,0.11977987363934517,True
outage_replay_wgan,5,edge1,intersection_11,False,16,0,16,0.1261218551080674,True
outage_replay_wgan,5,edge1,intersection_12,False,16,0,16,0.26456418726593256,True
outage_replay_wgan,5,edge1,intersection_13,False,16,0,16,0.1782738226465881,True
outage_replay_wgan,5,edge2,intersection_14,False,16,0,16,0.11883563920855522,True
outage_replay_wgan,5,edge2,intersection_15,False,16,0,16,0.10041219531558454,True
outage_replay_wgan,5,edge2,intersection_16,False,16,0,16,0.05971772316843271,True
outage_replay_wgan,5,edge2,intersection_17,False,16,0,16,0.1788576883263886,True
outage_replay_wgan,5,edge2,intersection_18,False,16,0,16,0.05911067849956453,True
outage_replay_wgan,5,edge2,intersection_19,False,16,0,16,0.1195905280765146,True
outage_replay_wgan,5,edge2,intersection_20,False,16,0,16,0.05838206899352372,True
outage_replay_wgan,6,edge0,intersection_00,False,16,0,16,0.11835934524424374,True
outage_replay_wgan,6,edge0,intersection_01,False,16,0,16,0.1767026362940669,True
outage_replay_wgan,6,edge0,intersection_02,False,16,0,16,0.05353813082911074,True
outage_replay_wgan,6,edge0,intersection_03,False,16,0,16,0.12022020784206687,True
outage_replay_wgan,6,edge0,intersection_04,False,16,0,16,0.11768213310278952,True
outage_replay_wgan,6,edge0,intersection_05,False,16,0,16,0.20479783811606467,True
outage_replay_wgan,6,edge0,intersection_06,False,16,0,16,0.12141027953475714,True
outage_replay_wgan,6,edge1,intersection_07,False,16,0,16,0.24098421493545175,True
outage_replay_wgan,6,edge1,intersection_08,False,16,0,16,0.0407119351439178,True
outage_replay_wgan,6,edge1,intersection_09,False,16,0,16,0.0002442167606204748,True
outage_replay_wgan,6,edge1,intersection_10,False,16,0,16,0.1441996293142438,True
outage_replay_wgan,6,edge1,intersection_11,False,16,0,16,0.057507508201524615,True
outage_replay_wgan,6,edge1,intersection_12,False,16,0,16,0.00021028798073530197,True
outage_replay_wgan,6,edge1,intersection_13,False,16,0,16,0.11852483288384974,True
outage_replay_wgan,6,edge2,intersection_14,False,16,0,16,0.11886619031429291,True
outage_replay_wgan,6,edge2,intersection_15,False,16,0,16,0.17790856934152544,True
