scenario,round,outage_active,frame_accuracy,balanced_accuracy,samples_received,samples_trained,live_samples,fallback_samples,round_wall_time,images_received_per_second,samples_trained_per_second,queue_fill_seconds_max,queue_fill_complete_edges,effective_training_duration,cpu_avg,cpu_peak,cpu_var,cpu_avg_host_percent,cpu_peak_host_percent,memory_avg_mb,memory_peak_mb,acc_car,acc_van,acc_bus,acc_others
baseline_live,1,False,0.8664523043944266,0.25,336,336,336,0,28.17336368560791,11.92615847186335,11.92615847186335,0.23855669633485377,3,28.17350673675537,334.61911764705883,708.6,71225.150958045,41.827389705882354,88.575,923.4053308823529,1066.41015625,1.0,0.0,0.0,0.0
baseline_live,2,False,0.8664523043944266,0.25,336,672,336,0,23.321316480636597,14.407419936133394,28.814839872266788,0.2350778947584331,3,51.494916677474976,389.664,1747.1,140677.72950400002,48.708,218.3875,1013.8378125,1127.73828125,1.0,0.0,0.0,0.0
baseline_live,3,False,0.8396570203644159,0.3648953148800341,336,768,336,0,22.708550453186035,14.796188805299055,33.81986012639784,0.2041922661010176,3,74.2035903930664,373.5,795.7,109143.645,46.6875,99.4625,1110.9532877604167,1191.734375,0.9497773379515092,0.0,0.5098039215686274,0.0
baseline_live,4,False,0.10203644158628082,0.249836062008254,336,768,336,0,21.03698182106018,15.971872907340229,36.50713807392052,0.1989333680830896,3,95.2406952381134,353.73111111111115,795.6,109990.37369876543,44.21638888888889,99.45,1155.2993055555555,1191.73046875,0.005937654626422563,0.9934065934065934,0.0,0.0
baseline_live,5,False,0.8664523043944266,0.25,336,768,336,0,21.145020723342896,15.890265817005098,36.32060758172594,0.3097706539556384,3,116.38587021827698,357.4326530612245,789.4,105454.9291378592,44.679081632653066,98.675,1197.000956632653,1263.734375,1.0,0.0,0.0,0.0
baseline_live,6,False,0.09967845659163987,0.25061850569025235,336,768,336,0,20.7583270072937,16.186275506785403,36.997201158366636,0.24098421493545175,3,137.1443271636963,350.12608695652176,813.8,115366.6927977316,43.76576086956522,101.725,1226.8192085597825,1243.734375,0.002474022761009401,1.0,0.0,0.0
baseline_live,7,False,0.8715969989281886,0.2744016127365954,336,768,336,0,22.060975313186646,15.230514300932136,34.81260411641631,0.22568251239135861,3,159.20543503761292,364.04680851063824,795.6,108976.25440470802,45.50585106382978,99.45,1173.5413896276596,1247.734375,0.9943097476496784,0.10329670329670329,0.0,0.0
baseline_live,8,False,0.21178992497320473,0.281015953368749,336,768,336,0,21.707465410232544,15.478545912670905,35.37953351467635,0.34288694290444255,3,180.91310048103333,356.5021276595745,795.6,114687.3397827071,44.562765957446814,99.45,1239.070977393617,1303.24609375,0.13285502226620485,0.9912087912087912,0.0,0.0
baseline_live,9,False,0.877384780278671,0.32921997596663605,336,768,336,0,20.32648515701294,16.530157447514974,37.783217022891364,0.23815400409512222,3,201.23973894119263,336.97999999999996,812.9,115423.64471111112,42.122499999999995,101.6125,1278.3174479166667,1295.734375,0.9740227610094013,0.34285714285714286,0.0,0.0
baseline_live,10,False,0.7365487674169346,0.40192602041133635,336,768,336,0,21.187018871307373,15.858767202734203,36.24861074910675,0.346165286609903,3,222.4268844127655,357.9318181818182,799.5,108644.68853305784,44.74147727272727,99.9375,1272.140625,1366.5546875,0.7550717466600693,0.8395604395604396,0.013071895424836602,0.0
baseline_live,11,False,0.6971061093247588,0.47386874274189816,336,768,336,0,21.114685535430908,15.91309515058534,36.37278891562363,0.2392810198944062,3,243.54170393943787,498.42499999999995,6195.2,863793.9927840907,62.303124999999994,774.4,1326.841708096591,1383.73828125,0.6964374072241465,0.8395604395604396,0.35947712418300654,0.0
baseline_live,12,False,0.8632368703108253,0.5016782272101421,336,768,336,0,20.741461515426636,16.199437043050086,37.02728466982877,0.2728113189805299,3,264.2833032608032,341.17906976744183,790.3,112589.15235262302,42.64738372093023,98.7875,1346.3389353197674,1367.734375,0.9148936170212766,0.5362637362637362,0.5555555555555556,0.0
baseline_live,13,False,0.8983922829581994,0.5502769215629768,336,768,336,0,22.1842143535614,15.145904860320616,34.61921110930427,0.2379391707945615,3,286.46767234802246,345.6619047619048,815.7,111608.62807256237,43.2077380952381,101.9625,1365.0224144345239,1375.734375,0.9601682335477486,0.3978021978021978,0.8431372549019608,0.0
baseline_live,14,False,0.880171489817792,0.5397477042301969,336,768,336,0,24.69558548927307,13.605670541641828,31.09867552375275,0.23891503922641277,3,311.163391828537,370.36875000000003,778.7,106409.0458984375,46.296093750000004,97.3375,1361.7051595052083,1395.73828125,0.9324591786244434,0.4945054945054945,0.7320261437908496,0.0
baseline_live,15,False,0.8696677384780279,0.5241249923636337,336,768,336,0,23.101754903793335,14.544349613233427,33.24422768739069,0.29369913460686803,3,334.26528692245483,372.4096153846154,787.2,108610.0797152367,46.551201923076924,98.4,1354.665264423077,1446.58984375,0.9443344878772885,0.210989010989011,0.9411764705882353,0.0
baseline_live,16,False,0.6829581993569132,0.5901348320193097,336,768,336,0,25.841360092163086,13.00241159140454,29.719797923210376,0.35689417482353747,3,360.1067895889282,373.46071428571435,794.9,106849.30024234694,46.68258928571429,99.3625,1406.947265625,1471.20703125,0.6603166749134092,0.8505494505494505,0.8496732026143791,0.0
