scenario,round,edge_id,samples_received,samples_trained,live_samples,fallback_samples,train_loss_avg,compute_time,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_sensors,sensor_count,replay_buffer_size
outage_replay_kde,44,edge0,112,256,96,16,3.3410643935203552,0.36933231353759766,0.05807350697369318,0.17966438410803676,7,7,4928
outage_replay_kde,44,edge1,112,256,112,0,1.0152140855789185,0.356156587600708,0.08389383764006197,0.2382648854982108,7,7,4928
outage_replay_kde,44,edge2,112,256,112,0,2.3682064563035965,0.3494906425476074,0.05909775064459869,0.11581978294998407,7,7,4928
outage_replay_kde,45,edge0,112,256,96,16,1.263482689857483,0.34763050079345703,0.09239754302529321,0.17198157512366555,7,7,5040
outage_replay_kde,45,edge1,112,256,112,0,2.987141266465187,0.44272494316101074,0.04131828418134579,0.11676713032647967,7,7,5040
outage_replay_kde,45,edge2,112,256,112,0,0.7175195962190628,0.3400552272796631,0.09485475309858364,0.17878086352720857,7,7,5040
outage_replay_kde,46,edge0,112,256,96,16,0.6832612752914429,0.3389472961425781,0.05055504359344216,0.16450933436863124,7,7,5152
outage_replay_kde,46,edge1,112,256,112,0,1.9223929941654205,0.3704254627227783,0.07769718250658895,0.13076158985495567,7,7,5152
outage_replay_kde,46,edge2,112,256,112,0,0.8423700630664825,0.3600046634674072,0.07736488874070346,0.1921620874200016,7,7,5152
outage_replay_kde,47,edge0,112,256,96,16,1.5635938346385956,0.3446624279022217,0.10998502812985857,0.1790665767621249,7,7,5264
outage_replay_kde,47,edge1,112,256,112,0,0.8235725462436676,0.5253148078918457,0.1266159797419927,0.23701596562750638,7,7,5264
outage_replay_kde,47,edge2,112,256,112,0,1.7251297682523727,0.3360936641693115,0.10560052865184844,0.17914065485820174,7,7,5264
outage_replay_kde,48,edge0,112,256,96,16,0.6828179955482483,0.3485555648803711,0.08287631515527795,0.2294263986404985,7,7,5376
outage_replay_kde,48,edge1,112,256,112,0,5.0628970339894295,0.3831899166107178,0.1038354227785021,0.18026493792422113,7,7,5376
outage_replay_kde,48,edge2,112,256,112,0,0.977583359926939,0.6343460083007812,0.11997345509007573,0.2405504712369293,7,7,5376
outage_replay_kde,49,edge0,112,256,96,16,1.5837042778730392,0.3539271354675293,0.07208683166952087,0.2377087257336825,7,7,5488
