scenario,round,edge_id,samples_received,samples_trained,live_samples,fallback_samples,train_loss_avg,compute_time,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_sensors,sensor_count,replay_buffer_size
outage_replay_fixed,1,edge0,112,112,112,0,2.489262640476227,0.15939092636108398,0.08784142249662961,0.17780706891790032,7,7,112
outage_replay_fixed,1,edge1,112,112,112,0,2.8275895714759827,0.1727757453918457,0.08349247902099576,0.23855669633485377,7,7,112
outage_replay_fixed,1,edge2,112,112,112,0,1.6689397692680359,0.15552353858947754,0.11398392543196678,0.17812373023480177,7,7,112
outage_replay_fixed,2,edge0,112,224,112,0,4.608842313289642,0.33702540397644043,0.06324236543982156,0.15346503094770014,7,7,224
outage_replay_fixed,2,edge1,112,224,112,0,4.247801244258881,0.3286750316619873,0.09296461104947541,0.2350778947584331,7,7,224
outage_replay_fixed,2,edge2,112,224,112,0,3.918980121612549,0.3111391067504883,0.09061685191201312,0.17856597481295466,7,7,224
outage_replay_fixed,3,edge0,112,256,112,0,3.8103107810020447,0.3857095241546631,0.059605064269687445,0.11839064978994429,7,7,336
outage_replay_fixed,3,edge1,112,256,112,0,2.043196365237236,0.34175944328308105,0.06206674887133496,0.13631450477987528,7,7,336
outage_replay_fixed,3,edge2,112,256,112,0,2.5304960906505585,0.37682580947875977,0.12805516276109433,0.2041922661010176,7,7,336
outage_replay_fixed,4,edge0,112,256,112,0,2.855690658092499,0.35857629776000977,0.06237030167332185,0.17809122917242348,7,7,448
outage_replay_fixed,4,edge1,112,256,112,0,1.2219104170799255,0.3481709957122803,0.11072949905480657,0.18008328694850206,7,7,448
outage_replay_fixed,4,edge2,112,256,112,0,1.5042016059160233,0.33879542350769043,0.13326767916857665,0.1989333680830896,7,7,448
outage_replay_fixed,5,edge0,112,256,112,0,1.8334494233131409,0.36621665954589844,0.0612852673179337,0.11926807998679578,7,7,560
outage_replay_fixed,5,edge1,112,256,112,0,1.0473056137561798,0.3542354106903076,0.1612770683132112,0.3097706539556384,7,7,560
outage_replay_fixed,5,edge2,112,256,112,0,1.4953285157680511,0.42763185501098633,0.09927236022693771,0.1788576883263886,7,7,560
outage_replay_fixed,6,edge0,112,256,112,0,3.2101421877741814,0.4543912410736084,0.13038722442329995,0.20479783811606467,7,7,672
outage_replay_fixed,6,edge1,112,256,112,0,1.3418759107589722,0.36191225051879883,0.08605466074576336,0.24098421493545175,7,7,672
outage_replay_fixed,6,edge2,112,256,112,0,1.1298308223485947,0.3890256881713867,0.1082333459718419,0.17790856934152544,7,7,672
outage_replay_fixed,7,edge0,112,256,112,0,1.311129368841648,0.36011719703674316,0.11058889570579465,0.17760529019869864,7,7,784
outage_replay_fixed,7,edge1,112,256,112,0,1.3577605932950974,0.35457563400268555,0.11833170751508858,0.22568251239135861,7,7,784
outage_replay_fixed,7,edge2,112,256,112,0,0.818269707262516,0.363239049911499,0.11033202797573592,0.17428016243502498,7,7,784
outage_replay_fixed,8,edge0,112,256,112,0,2.1667961180210114,0.3731234073638916,0.12600597057358495,0.1781368216034025,7,7,896
outage_replay_fixed,8,edge1,112,256,112,0,1.222682073712349,0.3737294673919678,0.10499595691050802,0.25993858580477536,7,7,896
outage_replay_fixed,8,edge2,112,256,112,0,1.04803828895092,0.34963393211364746,0.13058856771593647,0.34288694290444255,7,7,896
outage_replay_fixed,9,edge0,112,256,112,0,1.8903118520975113,0.6539294719696045,0.09070980869832315,0.1608617608435452,7,7,1008
outage_replay_fixed,9,edge1,112,256,112,0,1.227021984755993,0.4934418201446533,0.08763530803844333,0.17753953719511628,7,7,1008
outage_replay_fixed,9,edge2,112,256,112,0,0.6824963465332985,0.4616203308105469,0.09323878922233624,0.23815400409512222,7,7,1008
outage_replay_fixed,10,edge0,112,256,112,0,0.6837484911084175,0.42352795600891113,0.10556402163846153,0.346165286609903,7,7,1120
outage_replay_fixed,10,edge1,112,256,112,0,1.7457368224859238,0.3714745044708252,0.08396310266107321,0.17664478393271565,7,7,1120
