scenario,round,edge_id,samples_received,samples_trained,live_samples,fallback_samples,train_loss_avg,compute_time,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_sensors,sensor_count,replay_buffer_size
outage_no_fallback,29,edge0,96,256,96,0,1.7963936477899551,0.34982776641845703,0.0827179413754493,0.175917660119012,6,7,3088
outage_no_fallback,29,edge1,112,256,112,0,1.9836102575063705,0.35191774368286133,0.10407156327606312,0.17826725728809834,7,7,3248
outage_no_fallback,29,edge2,112,256,112,0,0.8661072328686714,0.33777832984924316,0.11231154885276087,0.19197896379046142,7,7,3248
outage_no_fallback,30,edge0,96,256,96,0,0.7152010649442673,0.3377647399902344,0.11227388516999781,0.2960768670309335,6,7,3184
outage_no_fallback,30,edge1,112,256,112,0,1.7273448035120964,0.34055137634277344,0.06801436638592609,0.17954251123592257,7,7,3360
outage_no_fallback,30,edge2,112,256,112,0,1.0804104283452034,0.34157872200012207,0.0484430462155225,0.11994926386978477,7,7,3360
outage_no_fallback,31,edge0,96,256,96,0,0.7381736785173416,0.4506795406341553,0.0791173226510485,0.11967198131605983,6,7,3280
outage_no_fallback,31,edge1,112,256,112,0,1.4213821589946747,0.4021456241607666,0.09900676339332547,0.17696181288920343,7,7,3472
outage_no_fallback,31,edge2,112,256,112,0,2.1726504787802696,0.347292423248291,0.09499135330718543,0.23725110152736306,7,7,3472
outage_no_fallback,32,edge0,96,256,96,0,1.7071751952171326,0.35200023651123047,0.06862881077298273,0.12600162881426513,6,7,3376
outage_no_fallback,32,edge1,112,256,112,0,2.610477179288864,0.36436963081359863,0.09621516761503049,0.2383558382280171,7,7,3584
outage_no_fallback,32,edge2,112,256,112,0,0.5312453471124172,0.36039042472839355,0.15926540050921695,0.2801429498940706,7,7,3584
outage_no_fallback,33,edge0,96,256,96,0,0.9075935408473015,0.3545536994934082,0.0639820807070161,0.18114027194678783,6,7,3472
outage_no_fallback,33,edge1,112,256,112,0,3.0302117466926575,0.3535928726196289,0.1538647842327399,0.29482684819959104,7,7,3696
outage_no_fallback,33,edge2,112,256,112,0,1.4697997942566872,0.3435835838317871,0.09346008109527507,0.22245464113075286,7,7,3696
outage_no_fallback,34,edge0,96,256,96,0,2.9574957191944122,0.3480205535888672,0.09605256023739155,0.17708302265964448,6,7,3568
outage_no_fallback,34,edge1,112,256,112,0,1.8474202901124954,0.34029436111450195,0.11896661396271416,0.29850082146003837,7,7,3808
outage_no_fallback,34,edge2,112,256,112,0,0.6122381091117859,0.3442072868347168,0.06259557684617383,0.17550471727736294,7,7,3808
outage_no_fallback,35,edge0,96,256,96,0,2.775680661201477,0.3823573589324951,0.10116373600127797,0.17705399892292917,6,7,3664
outage_no_fallback,35,edge1,112,256,112,0,1.0531112402677536,0.3649871349334717,0.046932177185746174,0.09174723038449883,7,7,3920
outage_no_fallback,35,edge2,112,256,112,0,1.2860255390405655,0.34328126907348633,0.09444075137642878,0.17474085907451806,7,7,3920
outage_no_fallback,36,edge0,96,256,96,0,0.628062978386879,0.393479585647583,0.11112573587646087,0.21167153283022344,6,7,3760
outage_no_fallback,36,edge1,112,256,112,0,1.3103767484426498,0.3375842571258545,0.15938813495449722,0.23665579361841083,7,7,4032
outage_no_fallback,36,edge2,112,256,112,0,1.1625321134924889,0.3455355167388916,0.0889113126322627,0.17728571058250964,7,7,4032
outage_no_fallback,37,edge0,96,256,96,0,1.5731756687164307,0.35434794425964355,0.12970829592086375,0.2968582632020116,6,7,3856
outage_no_fallback,37,edge1,112,256,112,0,0.8444690853357315,0.34040164947509766,0.09798673949470478,0.17962749558500946,7,7,4144
outage_no_fallback,37,edge2,112,256,112,0,1.2228275798261166,0.3395652770996094,0.11472812853753567,0.17903705360367894,7,7,4144
