scenario,round,outage_active,frame_accuracy,balanced_accuracy,samples_received,samples_trained,live_samples,fallback_samples,round_wall_time,images_received_per_second,samples_trained_per_second,queue_fill_seconds_max,queue_fill_complete_edges,effective_training_duration,cpu_avg,cpu_peak,cpu_var,cpu_avg_host_percent,cpu_peak_host_percent,memory_avg_mb,memory_peak_mb,acc_car,acc_van,acc_bus,acc_others
outage_replay_kde,1,False,0.8664523043944266,0.25,336,336,336,0,22.0656898021698,15.227260195009173,15.227260195009173,0.23855669633485377,3,22.06576108932495,249.4756756756757,792.6,88159.22940832724,31.18445945945946,99.075,2563.960831925676,2563.9609375,1.0,0.0,0.0,0.0
outage_replay_kde,2,False,0.8664523043944266,0.25,336,672,336,0,22.788344383239746,14.744379598156307,29.488759196312614,0.2350778947584331,3,44.85420250892639,355.2361702127659,793.3,114079.382308737,44.40452127659574,99.1625,2563.960854388298,2563.9609375,1.0,0.0,0.0,0.0
outage_replay_kde,3,False,0.8396570203644159,0.3648953148800341,336,768,336,0,21.890901803970337,15.348842318549888,35.08306815668546,0.2041922661010176,3,66.74525690078735,374.2723404255319,814.5,121772.59902218198,46.78404255319149,101.8125,2563.960854388298,2563.9609375,0.9497773379515092,0.0,0.5098039215686274,0.0
outage_replay_kde,4,False,0.10203644158628082,0.249836062008254,336,768,336,0,21.8970148563385,15.344557338268348,35.07327391604194,0.1989333680830896,3,88.6424458026886,373.7729166666666,813.6,114900.66405815973,46.72161458333333,101.7,2563.9608561197915,2563.9609375,0.005937654626422563,0.9934065934065934,0.0,0.0
outage_replay_kde,5,False,0.8664523043944266,0.25,336,768,336,0,22.060325622558594,15.230962849270497,34.81362936976114,0.3097706539556384,3,110.70293641090393,375.796,794.8,114412.812384,46.9745,99.35,2563.960859375,2563.9609375,1.0,0.0,0.0,0.0
outage_replay_kde,6,False,0.09967845659163987,0.25061850569025235,336,768,336,0,22.587555646896362,14.875447580631329,34.001023041443034,0.24098421493545175,3,133.29063868522644,380.15208333333334,814.7,114109.94874565971,47.51901041666667,101.8375,2563.9608561197915,2563.9609375,0.002474022761009401,1.0,0.0,0.0
outage_replay_kde,7,False,0.8715969989281886,0.2744016127365954,336,768,336,0,21.760859727859497,15.440566420720666,35.29272324736152,0.22568251239135861,3,155.05166053771973,374.67083333333335,810.2,117394.96539930555,46.83385416666667,101.275,2563.9608561197915,2563.9609375,0.9943097476496784,0.10329670329670329,0.0,0.0
outage_replay_kde,8,False,0.21178992497320473,0.281015953368749,336,768,336,0,21.80057644844055,15.412436491973352,35.22842626736767,0.34288694290444255,3,176.852436542511,439.40000000000003,3278.8,285693.2858333334,54.925000000000004,409.85,2563.9608561197915,2563.9609375,0.13285502226620485,0.9912087912087912,0.0,0.0
outage_replay_kde,9,False,0.877384780278671,0.32921997596663605,336,768,336,0,21.636486291885376,15.529323729704421,35.49559709646725,0.23815400409512222,3,198.48908853530884,369.6854166666667,797.9,116215.24166232639,46.21067708333334,99.7375,2563.9608561197915,2563.9609375,0.9740227610094013,0.34285714285714286,0.0,0.0
outage_replay_kde,10,False,0.7365487674169346,0.40192602041133635,336,768,336,0,22.653734922409058,14.831991331708798,33.90169447247725,0.346165286609903,3,221.14298462867737,384.1714285714286,794.7,112519.65061224489,48.02142857142857,99.3375,2563.960857780612,2563.9609375,0.7550717466600693,0.8395604395604396,0.013071895424836602,0.0
outage_replay_kde,11,False,0.6971061093247588,0.47386874274189816,336,768,336,0,22.064103841781616,15.228354725367758,34.80766794369774,0.2392810198944062,3,243.2072515487671,372.3489795918368,798.7,113265.8727030404,46.5436224489796,99.8375,2563.960857780612,2563.9609375,0.6964374072241465,0.8395604395604396,0.35947712418300654,0.0
outage_replay_kde,12,False,0.8632368703108253,0.5016782272101421,336,768,336,0,22.19214916229248,15.140489438080666,34.60683300132724,0.2728113189805299,3,265.3995554447174,374.2791666666667,814.7,116453.8362326389,46.78489583333334,101.8375,2563.9608561197915,2563.9609375,0.9148936170212766,0.5362637362637362,0.5555555555555556,0.0
outage_replay_kde,13,False,0.8983922829581994,0.5502769215629768,336,768,336,0,22.882190942764282,14.683908583773471,33.563219620053644,0.2379391707945615,3,288.28190422058105,401.23214285714283,813.3,107436.56682397959,50.154017857142854,101.6625,2563.960867745536,2563.9609375,0.9601682335477486,0.3978021978021978,0.8431372549019608,0.0
outage_replay_kde,14,False,0.880171489817792,0.5397477042301969,336,768,336,0,22.75645112991333,14.765043902576195,33.74867177731702,0.23891503922641277,3,311.0385046005249,378.066,815.0,115207.83584399999,47.25825,101.875,2563.960859375,2563.9609375,0.9324591786244434,0.4945054945054945,0.7320261437908496,0.0
outage_replay_kde,15,False,0.8696677384780279,0.5241249923636337,336,768,336,0,22.37107229232788,15.0193962814751,34.330048643371654,0.29369913460686803,3,333.4097363948822,432.1224489795918,3178.2,268236.2299042066,54.015306122448976,397.275,2563.960857780612,2563.9609375,0.9443344878772885,0.210989010989011,0.9411764705882353,0.0
outage_replay_kde,16,False,0.6829581993569132,0.5901348320193097,336,768,336,0,22.011621952056885,15.264663400626974,34.89065920143308,0.35689417482353747,3,355.42152214050293,381.906,830.8,111118.315364,47.73825,103.85,2563.960859375,2563.9609375,0.6603166749134092,0.8505494505494505,0.8496732026143791,0.0
outage_replay_kde,17,False,0.834941050375134,0.5968790326366658,336,768,336,0,21.998787879943848,15.273568790866383,34.91101437912316,0.2968719827476889,3,377.42045545578003,378.0604166666667,793.9,121001.95239149306,47.25755208333334,99.2375,2563.9608561197915,2563.9609375,0.8567540821375557,0.654945054945055,0.8758169934640523,0.0
outage_replay_kde,18,False,0.8355841371918542,0.5285404877387588,336,768,336,0,22.08147692680359,15.216373484155246,34.7802822494977,0.23627658328041434,3,399.50210762023926,384.41176470588226,795.7,115681.41280276817,48.05147058823528,99.4625,2563.9608609068628,2563.9609375,0.8983176645225136,0.2681318681318681,0.9477124183006536,0.0
outage_replay_kde,19,False,0.8563772775991425,0.5752620628555664,336,768,336,0,22.000360012054443,15.27247735109329,34.908519659641804,0.17876724153757095,3,421.5026111602783,375.8959183673469,806.2,117830.41018742192,46.98698979591836,100.775,2563.960857780612,2563.9609375,0.8906481939633845,0.5934065934065934,0.8169934640522876,0.0
outage_replay_kde,20,True,0.8784565916398713,0.5155465747623096,336,768,320,16,22.061933040618896,15.229853131245578,34.81109287141847,0.23570172814652324,3,443.56468391418457,392.988888888889,813.2,104856.70617283953,49.123611111111124,101.65,2563.960865162037,2563.9609375,0.9557149925779317,0.2175824175824176,0.8888888888888888,0.0
outage_replay_kde,21,True,0.8222936763129689,0.5781230774703721,336,768,320,16,22.003139972686768,15.270547768049834,34.904109184113906,0.29745401651598513,3,465.5679841041565,373.8354166666666,800.0,112237.3743706597,46.72942708333333,100.0,2563.9608561197915,2563.9609375,0.8547748639287481,0.5230769230769231,0.934640522875817,0.0
outage_replay_kde,22,True,0.6966773847802786,0.5712942335741183,336,768,320,16,22.07101821899414,15.22358400804731,34.79676344696528,0.2952433524187654,3,487.6391496658325,376.71875,795.8,114558.71735677084,47.08984375,99.475,2563.9608561197915,2563.9609375,0.6932211776348343,0.676923076923077,0.9150326797385621,0.0
outage_replay_kde,23,True,0.6315112540192926,0.5528787519524487,336,768,320,16,22.066531658172607,15.226679262735805,34.8038383148247,0.23430467094294727,3,509.7058503627777,382.096,803.9,114393.83158399999,47.762,100.4875,2563.960859375,2563.9609375,0.6222167243938644,0.621978021978022,0.9673202614379085,0.0
outage_replay_kde,24,True,0.7534833869239014,0.5365871450395711,336,768,320,16,22.42439889907837,14.983679228690916,34.24840966557924,0.13438008888624609,3,532.1304318904877,372.1693877551021,815.1,116309.91314452313,46.52117346938776,101.8875,2563.960857780612,2563.9609375,0.7803067788223652,0.5032967032967033,0.8627450980392157,0.0
outage_replay_kde,25,True,0.6385852090032155,0.5739185643681088,336,768,320,16,21.918875217437744,15.329253744402559,35.03829427292013,0.16527684498578307,3,554.04945063591,378.173469387755,793.8,115100.74235735109,47.271683673469376,99.225,2563.960857780612,2563.9609375,0.6108362196932212,0.8351648351648352,0.8496732026143791,0.0
outage_replay_kde,26,True,0.8231511254019293,0.5782108890194579,336,768,320,16,22.3156259059906,15.056714134547365,34.415346593251115,0.18025696557015178,3,576.3652248382568,462.65,4579.0,457614.84369999997,57.83125,572.375,2563.960859375,2563.9609375,0.8574962889658585,0.5010989010989011,0.954248366013072,0.0
outage_replay_kde,27,True,0.6941050375133977,0.5995302706271359,336,768,320,16,22.570733070373535,14.88653465318924,34.02636492157541,0.23837755946442485,3,598.9361352920532,368.21250000000003,832.0,119424.36151041667,46.026562500000004,104.0,2563.9608561197915,2563.9609375,0.6716971796140524,0.8571428571428571,0.869281045751634,0.0
outage_replay_kde,28,True,0.7847802786709539,0.48521401265310804,336,768,320,16,21.91241478919983,15.333773261977834,35.04862459880648,0.292761845048517,3,620.8486957550049,442.184,3070.1,250860.18374399998,55.273,383.7625,2563.960859375,2563.9609375,0.8498268184067294,0.1956043956043956,0.8954248366013072,0.0
outage_replay_kde,29,True,0.5121114683815648,0.5581836827652819,336,768,320,16,22.03495502471924,15.248499469278185,34.853713072635855,0.1919939152430743,3,642.883786201477,439.9083333333333,3059.7,258777.9415972222,54.98854166666666,382.4625,2563.9608561197915,2563.9609375,0.45818901533894113,0.8791208791208791,0.8954248366013072,0.0
outage_replay_kde,30,True,0.7116827438370846,0.45557366960283396,336,768,320,16,22.665271520614624,14.824441864479748,33.88443854738228,0.2248923280276358,3,665.5492203235626,378.9166666666667,814.8,111891.93388888887,47.364583333333336,101.85,2563.9608561197915,2563.9609375,0.7758535378525483,0.07912087912087912,0.9673202614379085,0.0
outage_replay_kde,31,True,0.5431939978563772,0.565689215332665,336,768,320,16,21.86531949043274,15.366800386658799,35.12411516950583,0.19867373863235116,3,687.4146904945374,370.9708333333333,794.9,114086.34164930556,46.37135416666666,99.3625,2563.9608561197915,2563.9609375,0.49480455220188024,0.8725274725274725,0.8954248366013072,0.0
outage_replay_kde,32,True,0.8278670953912112,0.477367795086164,336,768,320,16,22.719553232192993,14.789023206842689,33.80348161564043,0.14528269576840103,3,710.1343915462494,380.346,794.6,115937.13648400002,47.54325,99.325,2563.960859375,2563.9609375,0.901039089559624,0.2175824175824176,0.7908496732026143,0.0
outage_replay_kde,33,True,0.804930332261522,0.5082033018741695,336,768,320,16,22.03861165046692,15.245969452566735,34.847930177295396,0.18019693205133078,3,732.1731808185577,371.47708333333327,848.2,120615.28384982639,46.43463541666666,106.025,2563.9608561197915,2563.9609375,0.8649183572488867,0.26593406593406593,0.9019607843137255,0.0
outage_replay_kde,34,True,0.8291532690246517,0.4849347339895118,336,768,320,16,22.084257125854492,15.214457886683357,34.77590374099053,0.17896405328065157,3,754.257866859436,359.862,792.0,118829.098356,44.98275,99.0,2563.960859375,2563.9609375,0.8933696190004948,0.3208791208791209,0.7254901960784313,0.0
outage_replay_kde,35,True,0.39056806002143624,0.5148340382601232,336,768,320,16,22.664193868637085,14.82514674677928,33.88604970692407,0.2021456928923726,3,776.922206401825,378.5893617021276,794.3,114763.02563150748,47.32367021276595,99.2875,2563.960854388298,2563.9609375,0.32706580900544285,0.778021978021978,0.954248366013072,0.0
outage_replay_kde,36,True,0.5854233654876742,0.5704504413064532,336,768,320,16,23.26597499847412,14.441690065515685,33.009577292607275,0.2927834182046354,3,800.1883635520935,387.45102040816323,1175.0,127593.50739691796,48.431377551020404,146.875,2563.960857780612,2563.9609375,0.5467590301830777,0.8461538461538461,0.8888888888888888,0.0
outage_replay_kde,37,True,0.7980707395498392,0.5820798355754842,336,768,320,16,22.417915105819702,14.988012864442252,34.25831511872515,0.1822984537575394,3,822.606555223465,410.12545454545466,806.9,119062.85898842975,51.26568181818183,100.8625,2563.9608664772727,2563.9609375,0.822365165759525,0.5582417582417583,0.9477124183006536,0.0
outage_replay_kde,38,True,0.4883172561629153,0.5499145517707965,336,768,320,16,22.435195446014404,14.976468594112031,34.231928215113214,0.22148226690478623,3,845.0419960021973,398.04375,1130.6,124871.45829427084,49.75546875,141.325,2563.9608561197915,2563.9609375,0.43419099455714993,0.8373626373626374,0.9281045751633987,0.0
outage_replay_kde,39,True,0.8004287245444802,0.49491545765085365,336,768,320,16,21.717517852783203,15.471381318880326,35.363157300297885,0.268679111963138,3,866.7596650123596,375.99361702127663,793.2,119419.09421457669,46.99920212765958,99.15,2563.960854388298,2563.9609375,0.8570014844136566,0.3252747252747253,0.7973856209150327,0.0
